name,hcpc_order,BAR,check
magic_bullet_2_Hemp_canna_88,1,Hemp,magic_bullet_2_Hemp_canna_88
magic_bullet_8_Hemp_canna_98,2,Hemp,magic_bullet_8_Hemp_canna_98
magic_bullet_3_Hemp_canna_89,3,Hemp,magic_bullet_3_Hemp_canna_89
magic_bullet_1_Hemp_canna_87,4,Hemp,magic_bullet_1_Hemp_canna_87
magic_bullet_9_Hemp_canna_99,5,Hemp,magic_bullet_9_Hemp_canna_99
magic_bullet_7_Hemp_canna_97,6,Hemp,magic_bullet_7_Hemp_canna_97
cherry_wine_6_Hemp_canna_259,7,Hemp,cherry_wine_6_Hemp_canna_259
magic_bullet_4_Hemp_canna_94,8,Hemp,magic_bullet_4_Hemp_canna_94
magic_bullet_10_Hemp_canna_100,9,Hemp,magic_bullet_10_Hemp_canna_100
magic_bullet_5_Hemp_canna_95,10,Hemp,magic_bullet_5_Hemp_canna_95
magic_bullet_12_Hemp_canna_102,11,Hemp,magic_bullet_12_Hemp_canna_102
magic_bullet_6_Hemp_canna_96,12,Hemp,magic_bullet_6_Hemp_canna_96
magic_bullet_13_Hemp_canna_103,13,Hemp,magic_bullet_13_Hemp_canna_103
magic_bullet_11_Hemp_canna_101,14,Hemp,magic_bullet_11_Hemp_canna_101
colorado_cherry_3_Hemp_canna_92,15,Hemp,colorado_cherry_3_Hemp_canna_92
colorado_cherry_4_Hemp_canna_93,16,Hemp,colorado_cherry_4_Hemp_canna_93
colorado_cherry_1_Hemp_canna_90,17,Hemp,colorado_cherry_1_Hemp_canna_90
colorado_cherry_6_Hemp_canna_106,18,Hemp,colorado_cherry_6_Hemp_canna_106
magic_bullet_14_Hemp_canna_107,19,Hemp,magic_bullet_14_Hemp_canna_107
colorado_cherry_5_Hemp_canna_105,20,Hemp,colorado_cherry_5_Hemp_canna_105
colorado_cherry_2_Hemp_canna_91,21,Hemp,colorado_cherry_2_Hemp_canna_91
BD_x_RS_Type I_canna_394,22,Type I,BD_x_RS_Type I_canna_394
sour_blue_4_Type I_canna_45,23,Type I,sour_blue_4_Type I_canna_45
sour_blue_3_Type I_canna_44,24,Type I,sour_blue_3_Type I_canna_44
sour_blue_6_Type I_canna_47,25,Type I,sour_blue_6_Type I_canna_47
hawaiian_haze_Type I_canna_158,26,Type I,hawaiian_haze_Type I_canna_158
chardonnay_1_Type III_canna_260,27,Type III,chardonnay_1_Type III_canna_260
otto_2_3_Hemp_canna_80,28,Hemp,otto_2_3_Hemp_canna_80
chardonnay_2_Type III_canna_261,29,Type III,chardonnay_2_Type III_canna_261
Zinger_1_Type I_canna_109,30,Type I,Zinger_1_Type I_canna_109
CW_x_ACDC_Type III_canna_212,31,Type III,CW_x_ACDC_Type III_canna_212
plushberry_x_otto_Type II_canna_452,32,Type II,plushberry_x_otto_Type II_canna_452
cherry_wine_3_Hemp_canna_256,33,Hemp,cherry_wine_3_Hemp_canna_256
odisha_54_1_Landrace_canna_295,34,Landrace,odisha_54_1_Landrace_canna_295
cherry_wine_2_Hemp_canna_161,35,Hemp,cherry_wine_2_Hemp_canna_161
otto_2_2_Hemp_canna_79,36,Hemp,otto_2_2_Hemp_canna_79
chardonnay_3_Type III_canna_262,37,Type III,chardonnay_3_Type III_canna_262
cherry_wine_4_Hemp_canna_257,38,Hemp,cherry_wine_4_Hemp_canna_257
sugar_mango_ryder_Type I_canna_279,39,Type I,sugar_mango_ryder_Type I_canna_279
spitis_valley_1_Landrace_canna_294,40,Landrace,spitis_valley_1_Landrace_canna_294
purple_urkle_10_Type I_canna_456,41,Type I,purple_urkle_10_Type I_canna_456
spitis_valley_3_Landrace_canna_314,42,Landrace,spitis_valley_3_Landrace_canna_314
