name,hcpc_order,check,BAR
Blue_Dream_9_no info_F_RSP10581,1,Blue_Dream_9_no info_F_RSP10581,no info
Cherry_Durban_Poison_Type I_F_RSP10196,2,Cherry_Durban_Poison_Type I_F_RSP10196,Type I
Blue_Dream_6_no info_F_RSP10578,3,Blue_Dream_6_no info_F_RSP10578,no info
Blue_Dream_7_no info_F_RSP10579,4,Blue_Dream_7_no info_F_RSP10579,no info
Blue_Dream_12_Type I_not reported_RSP10614,5,Blue_Dream_12_Type I_not reported_RSP10614,Type I
Blue_Dream_10_Type I_not reported_RSP10612,6,Blue_Dream_10_Type I_not reported_RSP10612,Type I
Blue_Dream_Trim_Type I_not reported_RSP10621,7,Blue_Dream_Trim_Type I_not reported_RSP10621,Type I
Blue_Dream_11_Type I_not reported_RSP10613,8,Blue_Dream_11_Type I_not reported_RSP10613,Type I
Blue_Dream_2_no info_F_RSP10129,9,Blue_Dream_2_no info_F_RSP10129,no info
Snoops_Dream_1_no info_not reported_RSP10117,10,Snoops_Dream_1_no info_not reported_RSP10117,no info
Blue_Dream_4_no info_F_RSP10269,11,Blue_Dream_4_no info_F_RSP10269,no info
Blue_Dream_5_no info_not reported_RSP10577,12,Blue_Dream_5_no info_not reported_RSP10577,no info
Blue_Dream_14_no info_F_RSP10695,13,Blue_Dream_14_no info_F_RSP10695,no info
Chiesel_no info_F_RSP10183,14,Chiesel_no info_F_RSP10183,no info
Chem_4_no info_F_RSP10245,15,Chem_4_no info_F_RSP10245,no info
Lemon_Skunk_1_Type I_F_RSP10193,16,Lemon_Skunk_1_Type I_F_RSP10193,Type I
White_99_no info_F_RSP10267,17,White_99_no info_F_RSP10267,no info
Chem_91_Type I_F_RSP10545,18,Chem_91_Type I_F_RSP10545,Type I
Kona_Kush_Type I_F_RSP10593,19,Kona_Kush_Type I_F_RSP10593,Type I
El_Diablo_no info_F_RSP10136,20,El_Diablo_no info_F_RSP10136,no info
Jesus_no info_F_RSP10147,21,Jesus_no info_F_RSP10147,no info
C4_1_no info_F_RSP10382,22,C4_1_no info_F_RSP10382,C4_1_no info_F_RSP10382
Doubl_Tangie_Banana_1_no info_F_RSP10366,23,Doubl_Tangie_Banana_1_no info_F_RSP10366,no info
ChemDog_Type II_F_RSP10387,24,ChemDog_Type II_F_RSP10387,Type II
Kush_It_1_no info_M_RSP10392,25,Kush_It_1_no info_M_RSP10392,no info
C4_2_Type I_F_RSP10971,26,C4_2_Type I_F_RSP10971,Type I
Kush_It_2_no info_F_RSP10412,27,Kush_It_2_no info_F_RSP10412,no info
Candyland_Type I_F_RSP10428,28,Candyland_Type I_F_RSP10428,Type I
Witches_Weed_Type I_F_RSP10165,29,Witches_Weed_Type I_F_RSP10165,Type I
Mothers_Milk_Type I_F_RSP10598,30,Mothers_Milk_Type I_F_RSP10598,Type I
Mothers_Milk_5_Type I_F_RSP10546,31,Mothers_Milk_5_Type I_F_RSP10546,Type I
Lucky_Charms_Type I_F_RSP10092,32,Lucky_Charms_Type I_F_RSP10092,Type I
C4_X_Blue_Dream_X_Hardy_no info_F_RSP10405,33,C4_X_Blue_Dream_X_Hardy_no info_F_RSP10405,no info
24_Gold_A3_no info_F_RSP10287,34,24_Gold_A3_no info_F_RSP10287,no info
Doubl_Tangie_Banana_2_no info_F_RSP10371,35,Doubl_Tangie_Banana_2_no info_F_RSP10371,no info
