,sample.id,EV1,EV2,EV3,EV4,Cultivar_Type,Type
1,sorted_bam/1988_Hash_Plant_RSP10156_Drug_THC_sorted.bam,-0.008353728,0.005635734,0.121666644,0.110226033,1988_Hash_Plant_no info_F_RSP10156,no info
2,sorted_bam/24_Gold_A3_RSP10287_Drug_THC_sorted.bam,-0.058737811,-0.025199822,-0.040872771,-0.054330087,24_Gold_A3_no info_F_RSP10287,no info
3,sorted_bam/818_RSP10411_Unknown_sorted.bam,-0.182524272,0.026226089,-0.074579428,-0.078505971,818_no info_F_RSP10411,no info
4,sorted_bam/AC_DC_RSP10084_Drug_CBD_sorted.bam,0.047828025,-0.024566304,0.07791579,-0.13484658,AC/DC_Type III_F_RSP10084,Type III
5,sorted_bam/Acrata_Trainwreck_RSP10301_Drug_THC_sorted.bam,0.016301975,0.016527762,0.104900025,-0.033449648,Acrata_Trainwreck_Type I_F_RSP10301,Type I
6,sorted_bam/Afghan_Kush_RSP10107_Drug_THC_sorted.bam,-0.012449179,-0.002688351,0.067848965,0.041666745,Afghan_Kush_no info_F_RSP10107,no info
7,sorted_bam/African_Haze_RSP10159_Drug_THC_sorted.bam,0.051630535,-0.074270462,-0.033536631,0.010140684,African_Haze_no info_F_RSP10159,no info
8,sorted_bam/Agent_Orange_1_RSP10559_ACACAA_Drug_THC_sorted.bam,0.023672137,-0.048071341,0.050759557,0.01702585,Agent_Orange_1_no info_not reported_RSP10559,no info
9,sorted_bam/Agent_Orange_2_RSP10605_Drug_THC_sorted.bam,0.020543589,-0.005153493,0.029929125,0.053445568,Agent_Orange_2_Type I_F_RSP10605,Type I
10,sorted_bam/AK47_1_RSP10120_Drug_THC_sorted.bam,0.02403426,-0.022579865,0.074994576,-0.033637456,AK47_1_no info_F_RSP10120,no info
11,sorted_bam/AK47_2_RSP10523_Drug_THC_sorted.bam,0.012058522,-0.053627124,0.024965635,0.003389061,AK47_2_Type I_not reported_RSP10523,Type I
12,sorted_bam/Amnesia_Haze_RSP10299_Drug_THC_sorted.bam,0.019621922,-0.095573236,-0.082050382,-0.007952643,Amnesia_Haze_Type I_F_RSP10299,Type I
13,sorted_bam/Arch_Angel_RSP10132_Unknown_sorted.bam,0.003852636,-0.049460772,-0.002631805,0.026771804,Arch_Angel_no info_F_RSP10132,no info
14,sorted_bam/Banana_Kush_1_RSP10162_Drug_THC_sorted.bam,0.036476368,-0.019935831,0.036802573,0.035689326,Banana_Kush_1_no info_F_RSP10162,no info
15,sorted_bam/Banana_Split_RSP10350_Drug_THC_sorted.bam,0.019102112,0.018589863,0.003616366,-0.002063297,Banana_Split_no info_F_RSP10350,no info
16,sorted_bam/BGKC_4_1_RSP10426_Drug_CBD_sorted.bam,0.020589667,-0.051729197,0.068912886,-0.08188118,BGKC_4_1_Type III_F_RSP10426,Type III
17,sorted_bam/BGKC_45_RSP10427_Unknown_sorted.bam,0.021371189,-0.052087079,0.067422747,-0.081297937,BGKC_45_no info_F_RSP10427,no info
18,sorted_bam/BHUTAN_RSP10079_Unknown_sorted.bam,0.047267821,-0.0228209,0.076961073,-0.138032787,BHUTAN_Type III_F_RSP10079,Type III
19,sorted_bam/Bio_Diesel_RSP10590_Drug_THC_sorted.bam,-0.007898069,0.005263038,-0.033342434,0.033994651,Bio_Diesel_Type I_F_RSP10590,Type I
20,sorted_bam/Black_84_RSP10385_Drug_THC_sorted.bam,0.037858611,-0.016710116,0.035096284,0.028000878,Black_84_Type I_F_RSP10385,Type I
21,sorted_bam/Black_Beauty_1_RSP10697_Drug_THC_sorted.bam,0.022973303,-0.020216878,0.054327017,0.045731059,Black_Beauty_1_Type I_F_RSP10697,Type I
22,sorted_bam/Blazin_Grapefruit_RSP10003_Drug_THC_sorted.bam,0.06404615,-0.018033364,-0.021436745,0.05617162,Blazin_Grapefruit_Type I_F_RSP10003,Type I
23,sorted_bam/Blueberry_Cheesecake_13_RSP10682_Drug_THC_sorted.bam,-0.010939773,0.004110166,0.041622965,0.07650249,Blueberry_Cheesecake_13_no info_not reported_RSP10682,no info
24,sorted_bam/Blueberry_Cheesecake_1_RSP10201_Drug_THC_sorted.bam,-0.002963795,0.032660652,0.082297617,0.068184253,Blueberry_Cheesecake_1_Type I_F_RSP10201,Type I
25,sorted_bam/Blueberry_Cheesecake_2_RSP10202_Drug_THC_sorted.bam,0.023844488,-0.024821682,0.019174415,0.074555319,Blueberry_Cheesecake_2_no info_M_RSP10202,no info
26,sorted_bam/Blueberry_Cheesecake_3_RSP10204_Drug_THC_sorted.bam,0.012290464,-0.056823646,0.036678122,-0.011936144,Blueberry_Cheesecake_3_no info_M_RSP10204,no info
27,sorted_bam/Blueberry_Cheesecake_4_RSP10205_Drug_THC_sorted.bam,0.007823223,-0.04944632,0.058397444,-0.025916702,Blueberry_Cheesecake_4_no info_not reported_RSP10205,no info
28,sorted_bam/Blueberry_Cheesecake_5_RSP10481_Drug_THC_sorted.bam,-0.017319977,0.02624636,0.003258534,0.06043609,Blueberry_Cheesecake_5_no info_F_RSP10481,no info
29,sorted_bam/Blueberry_Cheesecake_6_RSP10563_Drug_THC_sorted.bam,-0.015258695,0.03113328,0.004404929,0.063560383,Blueberry_Cheesecake_6_no info_F_RSP10563,no info
30,sorted_bam/Blueberry_Cheesecake_7_RSP10564_Drug_THC_sorted.bam,0.019501714,-0.043537472,0.044411767,0.037641784,Blueberry_Cheesecake_7_no info_F_RSP10564,no info
31,sorted_bam/Blueberry_Cheesecake_8_RSP10573_Drug_THC_sorted.bam,0.015980165,-0.010267329,0.072815575,0.034933893,Blueberry_Cheesecake_8_Type I_F_RSP10573,Type I
32,sorted_bam/Blueberry_RSP10597_Drug_THC_sorted.bam,-0.082834082,0.02108868,0.057989139,0.058751486,Blueberry_no info_F_RSP10597,no info
33,sorted_bam/Blue_Dream_10_RSP10612_Drug_THC_sorted.bam,0.096513189,0.203106829,-0.040619287,-0.011683737,Blue_Dream_10_Type I_not reported_RSP10612,Type I
34,sorted_bam/Blue_Dream_11_RSP10613_Drug_THC_sorted.bam,0.100037326,0.206014977,-0.042102405,-0.01376802,Blue_Dream_11_Type I_not reported_RSP10613,Type I
35,sorted_bam/Blue_Dream_12_RSP10614_Drug_THC_sorted.bam,0.099096967,0.202846299,-0.038466341,-0.012408748,Blue_Dream_12_Type I_not reported_RSP10614,Type I
36,sorted_bam/Blue_Dream_13_RSP10622_Drug_THC_sorted.bam,0.040966887,-0.063471291,-0.03534611,0.015056716,Blue_Dream_13_Type I_not reported_RSP10622,Type I
37,sorted_bam/Blue_Dream_14_RSP10695_Drug_THC_sorted.bam,0.104500292,0.214404544,-0.044673947,-0.017406622,Blue_Dream_14_no info_F_RSP10695,no info
38,sorted_bam/Blue_Dream_1_RSP10005_Drug_THC_sorted.bam,0.02861294,0.110590495,-0.000315985,-0.038471102,Blue_Dream_1_no info_M_RSP10005,no info
39,sorted_bam/Blue_Dream_2_RSP10129_Drug_THC_sorted.bam,0.110086038,0.223364563,-0.050153808,-0.008724544,Blue_Dream_2_no info_F_RSP10129,no info
40,sorted_bam/Blue_Dream_3_RSP10195_Drug_THC_sorted.bam,0.013664429,-0.044834765,-0.031545325,-0.032071134,Blue_Dream_3_Type I_F_RSP10195,Type I
41,sorted_bam/Blue_Dream_4_RSP10269_Drug_THC_sorted.bam,0.10732522,0.218837833,-0.040303431,-0.011838174,Blue_Dream_4_no info_F_RSP10269,no info
42,sorted_bam/Blue_Dream_5_RSP10577_Drug_THC_sorted.bam,0.103252422,0.211643119,-0.038429563,-0.017975595,Blue_Dream_5_no info_not reported_RSP10577,no info
43,sorted_bam/Blue_Dream_6_RSP10578_Drug_THC_sorted.bam,0.087885405,0.181691573,-0.04054891,-0.016660313,Blue_Dream_6_no info_F_RSP10578,no info
44,sorted_bam/Blue_Dream_7_RSP10579_Drug_THC_sorted.bam,0.083385626,0.184968771,-0.039112369,-0.016409581,Blue_Dream_7_no info_F_RSP10579,no info
45,sorted_bam/Blue_Dream_8_RSP10580_Drug_THC_sorted.bam,0.044393405,0.02258072,0.021732656,0.014562276,Blue_Dream_8_no info_F_RSP10580,no info
46,sorted_bam/Blue_Dream_9_RSP10581_Drug_THC_sorted.bam,0.081220275,0.183553196,-0.036242725,-0.010432152,Blue_Dream_9_no info_F_RSP10581,no info
47,sorted_bam/Blue_Dream_Trim_RSP10621_Drug_THC_sorted.bam,0.101009058,0.201003991,-0.044047851,-0.014070141,Blue_Dream_Trim_Type I_not reported_RSP10621,Type I
48,sorted_bam/Blue_Essence_RSP10386_Drug_THC_CBD_sorted.bam,-0.02964712,0.006277541,0.063566492,-0.016157856,Blue_Essence_Type II_F_RSP10386,Type II
49,sorted_bam/Boss_Hog_RSP10601_Drug_THC_sorted.bam,-0.006360943,-0.000576259,0.055376805,0.151527373,Boss_Hog_Type I_F_RSP10601,Type I
50,sorted_bam/Brain_Wreck_RSP10421_Drug_THC_sorted.bam,-0.004905086,0.003970364,0.090162572,0.075491618,Brain_Wreck_no info_F_RSP10421,no info
51,sorted_bam/Breakthrough_RSP10096_Drug_THC_sorted.bam,0.009008639,-0.065561675,-0.033972136,0.018747828,Breakthrough_Type I_F_RSP10096,Type I
52,sorted_bam/Bubba_Kush_RSP10164_Drug_THC_sorted.bam,-0.096050575,0.024933735,0.103124225,0.074867784,Bubba_Kush_no info_F_RSP10164,no info
53,sorted_bam/Bubblegummer_RSP10088_Drug_THC_sorted.bam,0.054644897,-0.048309665,-0.107561995,0.055497368,Bubblegummer_Type I_F_RSP10088,Type I
54,sorted_bam/Buddhas_Sister_RSP10265_Drug_THC_sorted.bam,0.081548466,0.052155585,-0.060897526,-0.021643054,Buddhas_Sister_no info_F_RSP10265,no info
