,sample.id,EV1,EV2,EV3,EV4,Cultivar_Type,Type
5,sorted_bam/Acrata_Trainwreck_RSP10301_Drug_THC_sorted.bam,0.016301975,0.016527762,0.104900025,-0.033449648,Acrata_Trainwreck_Type I_F_RSP10301,Type I
9,sorted_bam/Agent_Orange_2_RSP10605_Drug_THC_sorted.bam,0.020543589,-0.005153493,0.029929125,0.053445568,Agent_Orange_2_Type I_F_RSP10605,Type I
11,sorted_bam/AK47_2_RSP10523_Drug_THC_sorted.bam,0.012058522,-0.053627124,0.024965635,0.003389061,AK47_2_Type I_not reported_RSP10523,Type I
12,sorted_bam/Amnesia_Haze_RSP10299_Drug_THC_sorted.bam,0.019621922,-0.095573236,-0.082050382,-0.007952643,Amnesia_Haze_Type I_F_RSP10299,Type I
19,sorted_bam/Bio_Diesel_RSP10590_Drug_THC_sorted.bam,-0.007898069,0.005263038,-0.033342434,0.033994651,Bio_Diesel_Type I_F_RSP10590,Type I
20,sorted_bam/Black_84_RSP10385_Drug_THC_sorted.bam,0.037858611,-0.016710116,0.035096284,0.028000878,Black_84_Type I_F_RSP10385,Type I
21,sorted_bam/Black_Beauty_1_RSP10697_Drug_THC_sorted.bam,0.022973303,-0.020216878,0.054327017,0.045731059,Black_Beauty_1_Type I_F_RSP10697,Type I
22,sorted_bam/Blazin_Grapefruit_RSP10003_Drug_THC_sorted.bam,0.06404615,-0.018033364,-0.021436745,0.05617162,Blazin_Grapefruit_Type I_F_RSP10003,Type I
24,sorted_bam/Blueberry_Cheesecake_1_RSP10201_Drug_THC_sorted.bam,-0.002963795,0.032660652,0.082297617,0.068184253,Blueberry_Cheesecake_1_Type I_F_RSP10201,Type I
31,sorted_bam/Blueberry_Cheesecake_8_RSP10573_Drug_THC_sorted.bam,0.015980165,-0.010267329,0.072815575,0.034933893,Blueberry_Cheesecake_8_Type I_F_RSP10573,Type I
33,sorted_bam/Blue_Dream_10_RSP10612_Drug_THC_sorted.bam,0.096513189,0.203106829,-0.040619287,-0.011683737,Blue_Dream_10_Type I_not reported_RSP10612,Type I
34,sorted_bam/Blue_Dream_11_RSP10613_Drug_THC_sorted.bam,0.100037326,0.206014977,-0.042102405,-0.01376802,Blue_Dream_11_Type I_not reported_RSP10613,Type I
35,sorted_bam/Blue_Dream_12_RSP10614_Drug_THC_sorted.bam,0.099096967,0.202846299,-0.038466341,-0.012408748,Blue_Dream_12_Type I_not reported_RSP10614,Type I
36,sorted_bam/Blue_Dream_13_RSP10622_Drug_THC_sorted.bam,0.040966887,-0.063471291,-0.03534611,0.015056716,Blue_Dream_13_Type I_not reported_RSP10622,Type I
40,sorted_bam/Blue_Dream_3_RSP10195_Drug_THC_sorted.bam,0.013664429,-0.044834765,-0.031545325,-0.032071134,Blue_Dream_3_Type I_F_RSP10195,Type I
47,sorted_bam/Blue_Dream_Trim_RSP10621_Drug_THC_sorted.bam,0.101009058,0.201003991,-0.044047851,-0.014070141,Blue_Dream_Trim_Type I_not reported_RSP10621,Type I
49,sorted_bam/Boss_Hog_RSP10601_Drug_THC_sorted.bam,-0.006360943,-0.000576259,0.055376805,0.151527373,Boss_Hog_Type I_F_RSP10601,Type I
51,sorted_bam/Breakthrough_RSP10096_Drug_THC_sorted.bam,0.009008639,-0.065561675,-0.033972136,0.018747828,Breakthrough_Type I_F_RSP10096,Type I
53,sorted_bam/Bubblegummer_RSP10088_Drug_THC_sorted.bam,0.054644897,-0.048309665,-0.107561995,0.055497368,Bubblegummer_Type I_F_RSP10088,Type I
57,sorted_bam/C4_2_RSP10971_Drug_THC_sorted.bam,0.009033775,-0.002473432,-0.114008882,0.007972449,C4_2_Type I_F_RSP10971,Type I
60,sorted_bam/Candyland_RSP10428_Drug_THC_sorted.bam,0.000265207,-0.03878201,-0.09168967,-0.009944265,Candyland_Type I_F_RSP10428,Type I
65,sorted_bam/Casey_Jones_RSP10606_Drug_THC_sorted.bam,0.079393485,-0.077299771,-0.121834495,0.012445118,Casey_Jones_Type I_F_RSP10606_,Type I
