,name,BAR,check
1,O_geezus_PGT_161662_SRR8346515_Type I,Type I,O_geezus_PGT_161662_SRR8346515_Type I
2,Hollywood_OG_Kush_PGT_18285_SRR8346527_Type I,Type I,Hollywood_OG_Kush_PGT_18285_SRR8346527_Type I
3,707_Headband_PGT_126674_SRR8346747_Type I,Type I,707_Headband_PGT_126674_SRR8346747_Type I
4,OG_Kush_PGT_15221_SRR8347030_Type I,Type I,OG_Kush_PGT_15221_SRR8347030_Type I
5,OG_Kush_PGT_54033_SRR8349405_Type I,Type I,OG_Kush_PGT_54033_SRR8349405_Type I
6,Headband_PGT_20095_SRR8349286_Type I,Type I,Headband_PGT_20095_SRR8349286_Type I
7,Ghost_OG_PGT_20099_SRR8349281_Type I,Type I,Ghost_OG_PGT_20099_SRR8349281_Type I
8,Headband_PGT_132715_SRR8346549_Type I,Type I,Headband_PGT_132715_SRR8346549_Type I
9,Lemon_Larry_OG_PGT_53935_SRR8349203_Type I,Type I,Lemon_Larry_OG_PGT_53935_SRR8349203_Type I
10,Mendocino_Clone_Company_Blood_Diamond_OG_PGT_108328_SRR8347154_Type I,Type I,Mendocino_Clone_Company_Blood_Diamond_OG_PGT_108328_SRR8347154_Type I
11,O.G._Kush_PGT_108293_SRR8346722_Type I,Type I,O.G._Kush_PGT_108293_SRR8346722_Type I
12,707_OG_Kush_PGT_126673_SRR8346418_Type I,Type I,707_OG_Kush_PGT_126673_SRR8346418_Type I
13,Mendocino_Clone_Company_True_OG_PGT_108327_SRR8347151_Type I,Type I,Mendocino_Clone_Company_True_OG_PGT_108327_SRR8347151_Type I
14,Kosher_Kush_PGT_15220_SRR8347029_Type I,Type I,Kosher_Kush_PGT_15220_SRR8347029_Type I
15,To_be_determined_PGT_119486_SRR8346591_Type I,Type I,To_be_determined_PGT_119486_SRR8346591_Type I
16,KKU_PGT_115261_SRR8346614_Type I,Type I,KKU_PGT_115261_SRR8346614_Type I
17,SFV_PGT_104984_SRR8346507_Type I,Type I,SFV_PGT_104984_SRR8346507_Type I
18,O.G._Kush_SFV_cut_PGT_108296_SRR8346725_Type I,Type I,O.G._Kush_SFV_cut_PGT_108296_SRR8346725_Type I
19,Khalifa_Kush_PGT_102363_SRR8346773_Type I,Type I,Khalifa_Kush_PGT_102363_SRR8346773_Type I
20,Spacewalker_PGT_15501_SRR8347198_Type I,Type I,Spacewalker_PGT_15501_SRR8347198_Type I
21,Blood_Diamond_OG_Kush_PGT_15509_SRR8346968_Type I,Type I,Blood_Diamond_OG_Kush_PGT_15509_SRR8346968_Type I
22,Triangle_Kush_PGT_115289_SRR8346884_Type I,Type I,Triangle_Kush_PGT_115289_SRR8346884_Type I
23,SFV_OG_PGT_115316_SRR8347234_Type I,Type I,SFV_OG_PGT_115316_SRR8347234_Type I
24,Mendocino_Clone_Company_San_Fernando_Valley_OG_PGT_161657_SRR8346518_Type I,Type I,Mendocino_Clone_Company_San_Fernando_Valley_OG_PGT_161657_SRR8346518_Type I
25,Mendocino_Clone_Company_Humboldts_True_OG_PGT_108326_SRR8347152_Type I,Type I,Mendocino_Clone_Company_Humboldts_True_OG_PGT_108326_SRR8347152_Type I
26,Larry_OG_Kush_PGT_15511_SRR8346966_Type I,Type I,Larry_OG_Kush_PGT_15511_SRR8346966_Type I
27,Primo_G_PGT_20022_SRR8349416_Type I,Type I,Primo_G_PGT_20022_SRR8349416_Type I
28,Sour_Best_Shit_Ever_PGT_33827_SRR8349395_Type I,Type I,Sour_Best_Shit_Ever_PGT_33827_SRR8349395_Type I
29,Ghost_O.G._PGT_112230_SRR8346441_Type I,Type I,Ghost_O.G._PGT_112230_SRR8346441_Type I
30,Kosher_Kush_PGT_20104_SRR8349116_Type I,Type I,Kosher_Kush_PGT_20104_SRR8349116_Type I
31,Headband_PGT_112228_SRR8346443_Type I,Type I,Headband_PGT_112228_SRR8346443_Type I
32,HOG_PGT_147559_SRR8346837_Type I,Type I,HOG_PGT_147559_SRR8346837_Type I
33,OG_Kush_PGT_87957_SRR8348992_Type I,Type I,OG_Kush_PGT_87957_SRR8348992_Type I
34,SFV_PGT_147560_SRR8347242_Type I,Type I,SFV_PGT_147560_SRR8347242_Type I
35,Pure_Kush_PGT_147565_SRR8347297_Type I,Type I,Pure_Kush_PGT_147565_SRR8347297_Type I
36,Kosher_Kush_PGT_115315_SRR8347233_Type I,Type I,Kosher_Kush_PGT_115315_SRR8347233_Type I
37,Head_Band_PGT_87960_SRR8348995_Type I,Type I,Head_Band_PGT_87960_SRR8348995_Type I
38,OG_Kush_PGT_88192_SRR8349045_Type I,Type I,OG_Kush_PGT_88192_SRR8349045_Type I
39,Syndicate_OG_PGT_147531_SRR8346851_Type I,Type I,Syndicate_OG_PGT_147531_SRR8346851_Type I
