name,hcpc_order,BAR,check
Raziel_a1_Landrace,1,Landrace,Raziel_a1_Landrace
Star_a1_Landrace,2,Landrace,Star_a1_Landrace
Colombia_a1_Landrace,3,Landrace,Colombia_a1_Landrace
Panama_a1_Landrace,4,Landrace,Panama_a1_Landrace
Camael_1_a1_Landrace,5,Landrace,Camael_1_a1_Landrace
PN_Columbia_Pelo_Naranja_a1_Landrace,6,Landrace,PN_Columbia_Pelo_Naranja_a1_Landrace
Hael_2_a1_Landrace,7,Landrace,Hael_2_a1_Landrace
Mangobiche_Colombia_a1_Landrace,8,Landrace,Mangobiche_Colombia_a1_Landrace
Colombia_b1_Landrace,9,Landrace,Colombia_b1_Landrace
Afghanistan_Kyber_Pass_a1_Landrace,10,Landrace,Afghanistan_Kyber_Pass_a1_Landrace
Colombian_20s_a1_Landrace,11,Landrace,Colombian_20s_a1_Landrace
Mangobiche_Colombia_b1_Landrace,12,Landrace,Mangobiche_Colombia_b1_Landrace
Kenya_Kisumu_a1_Landrace,13,Landrace,Kenya_Kisumu_a1_Landrace
Laos_a1_Landrace,14,Landrace,Laos_a1_Landrace
Namibian_Landrace_a1_Landrace,15,Landrace,Namibian_Landrace_a1_Landrace
Thai_a1_Landrace,16,Landrace,Thai_a1_Landrace
Pigmy_PotCongo_Pointe_Noire_a1_Landrace,17,Landrace,Pigmy_PotCongo_Pointe_Noire_a1_Landrace
Cambodia_a1_Landrace,18,Landrace,Cambodia_a1_Landrace
Sariel_a1_Landrace,19,Landrace,Sariel_a1_Landrace
Thailand_d1_Landrace,20,Landrace,Thailand_d1_Landrace
Tanzanian_B_a1_Landrace,21,Landrace,Tanzanian_B_a1_Landrace
Glacier_Goo_a1_Landrace,22,Landrace,Glacier_Goo_a1_Landrace
LINE_43_178_Romania_a1_Landrace,23,Landrace,LINE_43_178_Romania_a1_Landrace
Malawi_b1_Landrace,24,Landrace,Malawi_b1_Landrace
India_a1_Landrace,25,Landrace,India_a1_Landrace
Isaan_Thailand_a1_Landrace,26,Landrace,Isaan_Thailand_a1_Landrace
Kazakhstan_f1_Landrace,27,Landrace,Kazakhstan_f1_Landrace
Tanzanian_A_a1_Landrace,28,Landrace,Tanzanian_A_a1_Landrace
Sumatra_Tuk_Tuk_a1_Landrace,29,Landrace,Sumatra_Tuk_Tuk_a1_Landrace
Zambia_a1_Landrace,30,Landrace,Zambia_a1_Landrace
Zambia_b1_Landrace,31,Landrace,Zambia_b1_Landrace
India_b1_Landrace,32,Landrace,India_b1_Landrace
Bolonska_Yugoslavia_a1_Landrace,33,Landrace,Bolonska_Yugoslavia_a1_Landrace
Ghana_a1_Landrace,34,Landrace,Ghana_a1_Landrace
Nicaragua_4_a1_Landrace,35,Landrace,Nicaragua_4_a1_Landrace
Papua_New_Guinea_b1_Landrace,36,Landrace,Papua_New_Guinea_b1_Landrace
9_mile_a1_Landrace,37,Landrace,9_mile_a1_Landrace
Papua_New_Guinea_a1_Landrace,38,Landrace,Papua_New_Guinea_a1_Landrace
Paraguay_2_a1_Unknown,39,Unknown,Paraguay_2_a1_Unknown
New_Caledonia_a1_Landrace,40,Landrace,New_Caledonia_a1_Landrace
Paraguay_3_1996_a1_Unknown,41,Unknown,Paraguay_3_1996_a1_Unknown
Jamaican_Lambsbread_60_70_a1_Landrace,42,Landrace,Jamaican_Lambsbread_60_70_a1_Landrace
Nigeria_a1_Unknown,43,Unknown,Nigeria_a1_Unknown
India_d1_Landrace,44,Landrace,India_d1_Landrace
Portuguese_Hemp_a1_Landrace,45,Landrace,Portuguese_Hemp_a1_Landrace
Hokkaido_Japan_a1_Landrace,46,Landrace,Hokkaido_Japan_a1_Landrace
Kazakhstan_a1_Landrace,47,Landrace,Kazakhstan_a1_Landrace
Unknown_1_a1_Landrace,48,Landrace,Unknown_1_a1_Landrace
Nepali_a1_Landrace,49,Landrace,Nepali_a1_Landrace
Malanje_Local_90s_Liamba_Angola_a1_Unknown,50,Unknown,Malanje_Local_90s_Liamba_Angola_a1_Unknown
Watkins_a1_Landrace,51,Landrace,Watkins_a1_Landrace
Kazakhstan_c1_Landrace,52,Landrace,Kazakhstan_c1_Landrace
Nepal_c1_Landrace,53,Landrace,Nepal_c1_Landrace
Kashmir_b1_Unknown,54,Unknown,Kashmir_b1_Unknown
Nepal_2010_a1_Landrace,55,Landrace,Nepal_2010_a1_Landrace
Unknown_2_a1_Landrace,56,Landrace,Unknown_2_a1_Landrace
Hmong_Thailand_a1_Landrace,57,Landrace,Hmong_Thailand_a1_Landrace
Nepal_b1_Unknown,58,Unknown,Nepal_b1_Unknown
Papua_New_Guinea_c1_Landrace,59,Landrace,Papua_New_Guinea_c1_Landrace
Nepal_Pahari_a1_Landrace,60,Landrace,Nepal_Pahari_a1_Landrace
Markant_Hemp_a1_Landrace,61,Landrace,Markant_Hemp_a1_Landrace
Mestnayal_Bulgaria_a1_Landrace,62,Landrace,Mestnayal_Bulgaria_a1_Landrace
Hybrid_Krasnodarskii_10_FB_Russia_a1_Landrace,63,Landrace,Hybrid_Krasnodarskii_10_FB_Russia_a1_Landrace
Kazakhstan_h1_Landrace,64,Landrace,Kazakhstan_h1_Landrace
Rooster_a1_Hemp,65,Hemp,Rooster_a1_Hemp
Thailand_c1_Unknown,66,Unknown,Thailand_c1_Unknown
Colombia_Sabanira_a1_Landrace,67,Landrace,Colombia_Sabanira_a1_Landrace
Morocco_a1_Type I,68,Type I,Morocco_a1_Type I
Fertodi_Hungary_a1_Landrace,69,Landrace,Fertodi_Hungary_a1_Landrace
Angola_Fem_2004_a1_Landrace,70,Landrace,Angola_Fem_2004_a1_Landrace
Malawi_c1_Landrace,71,Landrace,Malawi_c1_Landrace
Black_Trinity_e1_Hemp,72,Hemp,Black_Trinity_e1_Hemp
Iowa_Feral_Hemp_a1_Landrace,73,Landrace,Iowa_Feral_Hemp_a1_Landrace
Brazil_Pernambuco_a1_Landrace,74,Landrace,Brazil_Pernambuco_a1_Landrace
Ivory_Hemp_a1_Landrace,75,Landrace,Ivory_Hemp_a1_Landrace
Mestnayal_Ukraine_a1_Landrace,76,Landrace,Mestnayal_Ukraine_a1_Landrace
Fertodi_Hungary_b1_Landrace,77,Landrace,Fertodi_Hungary_b1_Landrace
Kazakhstan_g1_Landrace,78,Landrace,Kazakhstan_g1_Landrace
Kazakhstan_b1_Landrace,79,Landrace,Kazakhstan_b1_Landrace
Romanian_Hemp_a1_Landrace,80,Landrace,Romanian_Hemp_a1_Landrace
Finola_b1_Landrace,81,Landrace,Finola_b1_Landrace
Polish_Hemp_a1_Landrace,82,Landrace,Polish_Hemp_a1_Landrace
Finola_a1_Landrace,83,Landrace,Finola_a1_Landrace
Finola_c1_Landrace,84,Landrace,Finola_c1_Landrace
Kazakhstan_e1_Landrace,85,Landrace,Kazakhstan_e1_Landrace
Changxin_Dao_a1_Landrace,86,Landrace,Changxin_Dao_a1_Landrace
Menthel_Bubble_Gum_a1_Hemp,87,Hemp,Menthel_Bubble_Gum_a1_Hemp
Kazakhstan_d1_Unknown,88,Unknown,Kazakhstan_d1_Unknown
Flo_a1_Hemp,89,Hemp,Flo_a1_Hemp
Afgooey_a1_Hemp,90,Hemp,Afgooey_a1_Hemp
Lavender_b1_Hemp,91,Hemp,Lavender_b1_Hemp
Senegal_a1_Landrace,92,Landrace,Senegal_a1_Landrace
Dark_Desire_a1_Hemp,93,Hemp,Dark_Desire_a1_Hemp
Flo_b1_Hemp,94,Hemp,Flo_b1_Hemp
Jah_Goo_a1_Hemp,95,Hemp,Jah_Goo_a1_Hemp
Vintners_Moonshine_a1_Type I,96,Type I,Vintners_Moonshine_a1_Type I
Tian_Shui_Giansu_China_a1_Landrace,97,Landrace,Tian_Shui_Giansu_China_a1_Landrace
Jamaican_a1_Landrace,98,Landrace,Jamaican_a1_Landrace
Royal_Phoenix_a1_Type I,99,Type I,Royal_Phoenix_a1_Type I
Pakistan_c1_Landrace,100,Landrace,Pakistan_c1_Landrace
Yarkhun_WS_a1_Landrace,101,Landrace,Yarkhun_WS_a1_Landrace
Pakistan_a1_Landrace,102,Landrace,Pakistan_a1_Landrace
Crystal_Goddess_a1_Hemp,103,Hemp,Crystal_Goddess_a1_Hemp
Northern_Cali_Gooey_a1_Hemp,104,Hemp,Northern_Cali_Gooey_a1_Hemp
Afghoo_a1_Hemp,105,Hemp,Afghoo_a1_Hemp
Afgoo_c1_Hemp,106,Hemp,Afgoo_c1_Hemp
Afgoo_b1_Hemp,107,Hemp,Afgoo_b1_Hemp
Afgoo_d1_Hemp,108,Hemp,Afgoo_d1_Hemp
Super_Skunk_a1_Hemp,109,Hemp,Super_Skunk_a1_Hemp
Thailand_a1_Landrace,110,Landrace,Thailand_a1_Landrace
Kandy_Kush_a1_Landrace,111,Landrace,Kandy_Kush_a1_Landrace
Sour_Kush_b1_Landrace,112,Landrace,Sour_Kush_b1_Landrace
Afghani_1_x_Skunk_1_a1_Type I,113,Type I,Afghani_1_x_Skunk_1_a1_Type I
Oaxaca_79_a1_Type I,114,Type I,Oaxaca_79_a1_Type I
Berry_White_b1_Hemp,115,Hemp,Berry_White_b1_Hemp
Berry_White_a1_Hemp,116,Hemp,Berry_White_a1_Hemp
Trainwreck_c1_Hemp,117,Hemp,Trainwreck_c1_Hemp
Yulong_a1_Landrace,118,Landrace,Yulong_a1_Landrace
Trainwreck_a1_Hemp,119,Hemp,Trainwreck_a1_Hemp
Trainwreck_b1_Hemp,120,Hemp,Trainwreck_b1_Hemp
South_Africa_a1_Landrace,121,Landrace,South_Africa_a1_Landrace
Ethiopian_4_a1_Landrace,122,Landrace,Ethiopian_4_a1_Landrace
Purple_Pineapple_Afghani_a1_Hemp,123,Hemp,Purple_Pineapple_Afghani_a1_Hemp
India_c1_Landrace,124,Landrace,India_c1_Landrace
German_Hemp_a1_Landrace,125,Landrace,German_Hemp_a1_Landrace
Vietnam_Delat_a1_Type I,126,Type I,Vietnam_Delat_a1_Type I
Mexico_Oaxaca_79_S1_a1_Landrace,127,Landrace,Mexico_Oaxaca_79_S1_a1_Landrace
Nicaragua_a1_Landrace,128,Landrace,Nicaragua_a1_Landrace
Sumatra_a1_Unknown,129,Unknown,Sumatra_a1_Unknown
