,name,check,BAR
1,Hash_Plant_Type I,Hash_Plant,Type I
2,Critical_Kush_1_Type I,Critical_Kush_1,Type I
3,White_Cookies_Type I,White_Cookies,Type I
4,Grapefruit_Type I,Grapefruit_Diesel,Type I
5,OG_18_Type I,OG_18,Type I
6,San_Fran_Valley_OG_Kush_Type I,San_Fran_Valley_OG_Kush,Type I
7,Sour_Diesel_1_Type I,Sour_Diesel_1,Type I
8,Goast_Train_Haze_Type I,Goast_Train_Haze,Type I
9,Chem_91'_Type I,Chem_91',Type I
10,Girl_Scout_Cookies_2_Type I,Girl_Scout_Cookies_2,Type I
11,Pineapple_Express_Type I,Pineapple,Type I
12,Cheese_Quake_Type I,Cheese_Quake,Type I
13,Snowcap_1_Type I,Snowcap_1,Type I
14,Green_Poison_Type I,Green_Poison,Type I
15,H5_Unknown,H5,Unknown
16,G13_Haze−31_Type I,G13_Haze-31,Type I
17,Trainwreck_Type I,Trainwreck,Type I
18,Spectrum−14_Type III,Spectrum-14,Type III
19,Jack_Herer_2_Type I,Jack_Herer_2,Type I
20,H11_Unknown,H11,Unknown
21,Juicy_Fruit_Type I,Juicy_Fruit,Type I
22,Mazar_Type I,Mazar,Type I
23,Sour_Willie_Type I,Sour_Willie,Type I
24,A−train_Type I,A-train,Type I
25,Violator_Kush_Type I,Violator_Kush,Type I
26,Black_Jack_Type I,Black_Jack,Type I
27,Jack_47_Type I,Jack_47,Type I
28,Sweet_Skunk_Type I,Sweet_Skunk,Type I
29,Pineapple_Type I,Pineapple_Express,Type I
30,Melon_Gum_Type I,Melon_Gum,Type I
31,Critical_Kush_2_Type I,Critical_Kush_2,Type I
32,Grape_Ape_2_Type I,Grape_Ape_2,Type I
33,Golden_Boat_Type I,Golden_Boat,Type I
34,Jack_Skellington_Type I,Jack_Skellington,Type I
35,Afghan_Mango_3_Type I,Afghan_Mango_3,Type I
36,Afghan_Mango_2_Type I,Afghan_Mango_2,Type I
37,Blue_OG_Type I,Blue_OG,Type I
38,LSD_Type I,LSD,Type I
39,Bubble_Gum_Type I,Bubble_Gum,Type I
40,Blue_Dream_1_Type I,Blue_Dream_1,Type I
41,Sweet_Afghani_Delicious_Type I,Sweet_Afghani_Delicious,Type I
42,Green_Mandarine_Unknown,Green_Mandarine,Unknown
43,Kosher_Kush_1_Type I,Kosher_Kush_1,Type I
44,SFV_Type I,SFV,Type I
45,Old_Skool_OG_Type I,Old_Skool_OG,Type I
46,Dog_Walker_Type I,Dog_Walker,Type I
47,Boss_Hogg_F4_Type I,Boss_Hogg_F4,Type I
48,Girl_Scout_Cookie_#6_Type I,Girl_Scout_Cookie_#6,Type I
49,Glass_Slipper_Type I,Glass_Slipper,Type I
50,PK_Cookies_Type I,PK_Cookies,Type I
51,Larry_OG_Type I,Larry_OG,Type I
52,WAF_B_Unknown,WAF_B,Unknown
53,Skywalker_OG_Type I,Skywalker_OG,Type I
54,Guido_OG_Type I,Guido_OG,Type I
55,Chocolate_Kush_Type I,Chocolate_Kush,Type I
56,Screaming_Haze_Type I,Screaming_Haze,Type I
57,International_OG_Type I,International_OG,Type I
58,Dead_Head_OG_Type I,Dead_Head_OG,Type I
59,OG_Kush_1_Type I,OG_Kush_1,Type I
60,Bubba_Kush_Type I,Bubba_Kush,Type I
61,Platinum_OG_Type I,Platinum_OG,Type I
62,Gin_2_Unknown,Gin_2,Unknown
63,Kosher_Kush_2_Type I,Kosher_Kush_2,Type I
