,sample.id,EV1,EV2,EV3,EV4,Cultivar,Type,,HCPC
1,sorted_bam/SRR3495156_1_sort.bam,0.02934167,0.069266799,0.061419706,-0.048628496,StrainX_1/Charlottes_Web,Type III,_,StrainX_1/Charlottes_Web_Type III
2,sorted_bam/SRR3495157_1_sort.bam,0.070502551,0.088190385,0.10592545,0.019686861,B-1,Unknown,_,B-1_Unknown
3,sorted_bam/SRR3495158_1_sort.bam,-0.066844445,-0.114666075,0.053455669,-0.095295747,WAF_B,Unknown,_,WAF_B_Unknown
4,sorted_bam/SRR3495159_1_sort.bam,0.039835646,0.001225314,0.081849487,0.039954051,C37,Unknown,_,C37_Unknown
5,sorted_bam/SRR3495160_1_sort.bam,0.050386332,-0.067960905,0.013212223,0.086476187,H5,Unknown,_,H5_Unknown
6,sorted_bam/SRR3495161_1_sort.bam,0.070192688,0.035351575,0.07205465,0.018860217,MO,Unknown,_,MO_Unknown
7,sorted_bam/SRR3495162_1_sort.bam,0.033716202,0.069535069,0.070454519,-0.060959694,StrainX_2/Charlottes_Web,Type III,_,StrainX_2/Charlottes_Web_Type III
8,sorted_bam/SRR3495163_1_sort.bam,0.019820777,-0.052739851,-0.094819599,-0.001069752,Jack_47,Type I,_,Jack_47_Type I
9,sorted_bam/SRR3495164_1_sort.bam,0.058579654,-0.059218358,0.023451044,0.1139054,Green_Poison,Type I,_,Green_Poison_Type I
10,sorted_bam/SRR3495165_1_sort.bam,0.002747693,-0.020360908,0.049597163,0.079017035,White_Cookies,Type I,_,White_Cookies_Type I
11,sorted_bam/SRR3495166_1_sort.bam,0.014372934,-0.039316439,0.044192749,0.069749978,Critical_Kush_1,Type I,_,Critical_Kush_1_Type I
12,sorted_bam/SRR3495167_1_sort.bam,0.035474271,0.069548715,0.047847945,-0.072767282,AC/DC,Type III,_,AC/DC_Type III
13,sorted_bam/SRR3495168_1_sort.bam,0.018877883,-0.069044373,-0.11952908,-0.009581567,Black_Jack,Type I,_,Black_Jack_Type I
14,sorted_bam/SRR3495169_1_sort.bam,0.059157251,0.046646841,0.120976916,0.072130308,Critical_Mass,Type I,_,Critical_Mass_Type I
15,sorted_bam/SRR3495170_1_sort.bam,0.079046577,0.085640233,0.153969397,-0.053446801,R4-2_(A2),Type I,_,R4-2_(A2)_Type I
16,sorted_bam/SRR3495171_1_sort.bam,0.09919013,0.004286611,-0.054858192,-0.07584245,Bubble_Gum_XL,Type I,_,Bubble_Gum_XL_Type I
17,sorted_bam/SRR3495172_1_sort.bam,0.029573128,0.057126187,0.111975071,-0.01001521,Sour_Diesel_2,Type I,_,Sour_Diesel_2_Type I
18,sorted_bam/SRR3495173_1_sort.bam,0.030677281,0.023635412,0.002115965,0.103628321,Green_Mandarine,Unknown,_,Green_Mandarine_Unknown
19,sorted_bam/SRR3495174_1_sort.bam,0.07079761,0.016403628,0.119412014,0.04338755,Medical_Mass,Type II,_,Medical_Mass_Type II
20,sorted_bam/SRR3495175_1_sort.bam,-0.161473718,0.128466151,-0.117626498,0.008598817,OG_Kush_1,Type I,_,OG_Kush_1_Type I
21,sorted_bam/SRR3495176_1_sort.bam,0.040821465,0.040662448,0.064069079,-0.025299741,BC_HQ,Unknown,_,BC_HQ_Unknown
22,sorted_bam/SRR3495177_1_sort.bam,0.135587758,-0.069012861,-0.064230013,-0.079433123,Exodus_Cheese,Type I,_,Exodus_Cheese_Type I
23,sorted_bam/SRR3495178_1_sort.bam,0.085378846,0.019035012,-0.046353617,0.106371406,Sweet_Afghani_Delicious,Type I,_,Sweet_Afghani_Delicious_Type I
24,sorted_bam/SRR3495179_1_sort.bam,-0.009816119,0.079533155,-0.033416044,-0.01453965,Blue_Cheese,Type I,_,Blue_Cheese_Type I
25,sorted_bam/SRR3495180_1_sort.bam,0.047758047,0.034753029,0.057713172,0.027021281,Curly,Type I,_,Curly_Type I
26,sorted_bam/SRR3495181_1_sort.bam,0.032197855,0.090245188,0.158859119,-0.041289491,White_Widow_2,Type I,_,White_Widow_2_Type I
27,sorted_bam/SRR3495182_1_sort.bam,-2.78E-05,0.141642337,-0.027626641,-0.013779224,Red_Purps,Type I,_,Red_Purps_Type I
28,sorted_bam/SRR3495183_1_sort.bam,0.003143345,0.000347871,-0.000341252,-0.002373161,CBD_God,Type III,_,CBD_God_Type III
29,sorted_bam/SRR3495184_1_sort.bam,0.087355836,0.017091918,-0.121051775,0.117337237,Sweet_Skunk,Type I,_,Sweet_Skunk_Type I
30,sorted_bam/SRR3495185_1_sort.bam,0.065621993,-0.025453459,-0.027175415,-0.096604549,Easy_Sativa,Type I,_,Easy_Sativa_Type I
31,sorted_bam/SRR3495186_1_sort.bam,0.052564675,-0.078552284,0.018550062,0.077874077,G13_Haze-31,Type I,_,G13_Haze-31_Type I
32,sorted_bam/SRR3495187_1_sort.bam,0.054045947,0.102464541,0.18565889,0.002351266,Schemp,Unknown,_,Schemp_Unknown
33,sorted_bam/SRR3495188_1_sort.bam,0.054323465,0.01438836,0.055162925,-0.022765479,C4,Unknown,_,C4_Unknown
34,sorted_bam/SRR3495189_1_sort.bam,0.03397237,-0.09255999,-0.052156043,0.077289038,H11,Unknown,_,H11_Unknown
35,sorted_bam/SRR3495190_1_sort.bam,0.045561352,0.075949287,0.132820741,-0.032761307,C36,Unknown,_,C36_Unknown
36,sorted_bam/SRR3495191_1_sort.bam,0.051125067,0.028315594,-0.017015173,-0.042631477,Killer_Kush,Type I,_,Killer_Kush_Type I
37,sorted_bam/SRR3495192_1_sort.bam,0.063617334,0.034102,0.104961663,0.084272389,CBD_Shark_F-6,Type III,_,CBD_Shark_F-6_Type III
38,sorted_bam/SRR3495193_1_sort.bam,0.040902507,0.116572248,0.177411011,-0.011036582,Jack_Herrer_3,Type I,_,Jack_Herrer_3_Type I
39,sorted_bam/SRR3495194_1_sort.bam,-0.011607376,-0.004259055,0.025328484,0.079026668,Hash_Plant,Type I,_,Hash_Plant_Type I
40,sorted_bam/SRR3495195_1_sort.bam,0.002329599,0.000390168,-0.001461882,0.003119989,DMN-1,Unknown,_,DMN-1_Unknown
41,sorted_bam/SRR3495196_1_sort.bam,-0.019459915,0.024623876,-0.078764198,0.037820866,quepzaltol,Unknown,_,quepzaltol_Unknown
42,sorted_bam/SRR3495197_1_sort.bam,0.095754597,0.007685834,-0.041132885,-0.000986673,Jack_Skellington,Type I,_,Jack_Skellington_Type I
43,sorted_bam/SRR3495198_1_sort.bam,0.044518968,0.035778248,-0.095352754,-0.060483869,Afghan_Mango_1,Type I,_,Afghan_Mango_1_Type I
44,sorted_bam/SRR3495199_1_sort.bam,-0.089861183,0.06181998,-0.06249356,0.107552222,The_Sauce_1,Type I,_,The_Sauce_1_Type I
45,sorted_bam/SRR3495200_1_sort.bam,0.022502043,-0.020212734,-0.025552078,0.167753841,Blue_Dream_1,Type I,_,Blue_Dream_1_Type I
46,sorted_bam/SRR3495201_1_sort.bam,0.057015143,0.050520254,0.129059021,-0.005741236,Cherry,Type I,_,Cherry_Type I
47,sorted_bam/SRR3495202_1_sort.bam,-0.004496925,0.067806593,0.055690642,-0.035879326,CHP_-_indica_Hemp,Hemp,_,CHP_-_indica_Hemp_Hemp
48,sorted_bam/SRR3495203_1_sort.bam,-0.071497325,0.049592727,0.000498189,-0.017908397,Holy_Grail_1,Type I,_,Holy_Grail_1_Type I
