,Name,Cultivar,BAR
1,SnoopDream_SRR2584301_Type I,SnoopDream,Type I
2,NYCDiesel_2_SRR2584278_Type I,NYCDiesel_2,Type I
3,AutoWidow_SRR2584275_Type I,AutoWidow,Type I
4,BlueBerryCheeseCakeBC2Fem_SRR2584297_Type I,BlueBerryCheeseCakeBC2Fem,Type I
5,SourTsunami_2_SRR2584308_Type III,SourTsunami_2,Type III
6,GrandDaddyPurple_SRR2584262_Type I,GrandDaddyPurple,Type I
7,NYCDiesel_1_SRR2584276_Type I,NYCDiesel_1,Type I
8,BrzaillianGrapefruit_SRR2584198_Type I,BrzaillianGrapefruit,Type I
9,C4 X CannaTsu_SRR2559618_Hemp,C4,Type I
10,Flo_SRR2584256_Type I,Flo,Type I
11,DeepPurpleHaze_SRR2584254_Type I,DeepPurpleHaze,Type I
12,Cinex_SRR2584222_Type I,Cinex,Type I
13,8MileHigh_SRR2584118_Type I,8MileHigh,Type I
14,BlueBerryCheesecake11male_SRR2584313_Type I,BlueBerryCheesecake11male,Type I
15,Lester Grinspoon_2_SRR2584273_Type I,Lester Grinspoon_2,Type I
16,PC3_2_SRR2584289_Unknown,PC3_2,Unknown
17,Holland1R_SRR2584267_Unknown,Holland1R,Unknown
18,SourTsunamiFem_SRR2584306_Type III,SourTsunamiFem,Type III
19,GhostTrainHaze10_SRR2584258_Type I,GhostTrainHaze10,Type I
20,Chocolope_SRR2584200_Type I,Chocolope,Type I
21,BlueBerryEssence_3_SRR2584171_Type III,BlueBerryEssence_3,Type III
22,Black84_1_SRR2553737_Type I,Black84_1,Type I
23,OttoMale_SRR2584282_Type III,OttoMale,Type III
24,WZ_CBD_SRR2553799_Type III,WZ,Unknown
25,WZ_SRR2584311_Unknown,WZ_CBD,Type III
26,Panama_SRR2584291_Unknown,Panama,Unknown
27,Recon_SRR2584298_Type I,Recon,Type I
28,OGKush_SRR2584280_Type I,OGKush,Type I
29,PC3_1_SRR2584287_Unknown,PC3_1,Unknown
30,PurplePrince_SRR2584295_Type I,PurplePrince,Type I
31,GirlScoutCookie_SRR2584260_Type I,GirlScoutCookie,Type I
32,Otto_2_SRR2584284_Type III,Otto_2,Type III
33,BlueDream_2_SRR2559632_Type I,BlueDream_2,Type I
34,WiFi_SRR2559624_Type I,WiFi,Type I
35,BlueBerryEssence_2_SRR2559630_Type III,BlueBerryEssence_2,Type III
36,C4_SRR2559616_Type I,C4 X CannaTsu,Hemp
37,Chemdog91_2_SRR2553735_Type I,Chemdog91_2,Type I
38,Otto_1_SRR2559622_Type III,Otto_1,Type III
39,Black84_2_SRR2559628_Type I,Black84_2,Type I
40,Chemdog91_3_SRR2559621_Type I,Chemdog91_3,Type I
41,AK47_SRR2559614_Type I,AK47,Type I
42,PineBerry_SRR2584293_Type III,PineBerry,Type III
43,Kandy Kush_5_SRR2584269_Type I,Kandy Kush_5,Type I
44,GreenCrack_SRR2584265_Type I,GreenCrack,Type I
45,Kandy Kush_2_SRR2567605_Type I,Kandy Kush_2,Type I
46,LAConfidentialprep1_SRR2584271_Type I,LAConfidentialprep1,Type I
47,Kandy Kush_3_SRR2567606_Type I,Kandy Kush_3,Type I
48,AustralianBastard_SRR2584253_Type I,AustralianBastard,Type I
49,Kandy Kush_4_SRR2567607_Type I,Kandy Kush_4,Type I
50,Kandy Kush_1_SRR2567604_Type I,Kandy Kush_1,Type I
51,BlueDream_3_SRR2584196_Type I,BlueDream_3,Type I
52,AlaskanIce_SRR2559626_Type I,AlaskanIce,Type I
53,BlueBerryEssence_1_SRR2553739_Type III,BlueBerryEssence_1,Type III
54,Lester Grinspoon_1_SRR2567631_Type I,Lester Grinspoon_1,Type I
55,White Fire_SRR2553797_Type I,White Fire,Type I
56,Chemdog91_1_SRR2553731_Type I,Chemdog91_1,Type I
57,BlueDream_1_SRR2553741_Type I,BlueDream_1,Type I
58,SourTsunami_1_SRR2553733_Type III,SourTsunami_1,Type III
