,sample.id,EV1,EV2,EV3,EV4,Cultivar,Check_fastq,Type,_,HCPC
1,sorted_bam/SRR2553731_1_sorted.bam,-0.105665497,0.012805011,-0.04249582,-0.018490876,Chemdog91_1,SRR2553731,Type I,_,Chemdog91_1_SRR2553731_Type I
2,sorted_bam/SRR2553733_1_sorted.bam,-0.073031774,0.030813434,-0.110015157,-0.017808879,SourTsunami_1,SRR2553733,Type III,_,SourTsunami_1_SRR2553733_Type III
3,sorted_bam/SRR2553735_1_sorted.bam,-0.228967102,-0.076260235,-0.109760447,0.094110392,Chemdog91_2,SRR2553735,Type I,_,Chemdog91_2_SRR2553735_Type I
4,sorted_bam/SRR2553737_1_sorted.bam,-0.013658995,0.009873549,-0.023175139,0.016531855,Black84_1,SRR2553737,Type I,_,Black84_1_SRR2553737_Type I
5,sorted_bam/SRR2553739_1_sorted.bam,-0.092362351,-0.078987932,0.035211481,0.027038248,BlueBerryEssence_1,SRR2553739,Type III,_,BlueBerryEssence_1_SRR2553739_Type III
6,sorted_bam/SRR2553741_1_sorted.bam,-0.093492281,0.035246719,-0.082309029,0.024300093,BlueDream_1,SRR2553741,Type I,_,BlueDream_1_SRR2553741_Type I
7,sorted_bam/SRR2553797_1_sorted.bam,-0.09682356,-0.016501083,-0.216374952,0.106794792,White Fire,SRR2553797,Type I,_,White Fire_SRR2553797_Type I
8,sorted_bam/SRR2553799_1_sorted.bam,-0.001665352,-0.0326269,0.043824903,-0.024096627,WZ_CBD,SRR2553799,Type III,_,WZ_CBD_SRR2553799_Type III
9,sorted_bam/SRR2559614_1_sorted.bam,-0.108559099,0.180416909,-0.001232667,0.398578216,AK47,SRR2559614,Type I,_,AK47_SRR2559614_Type I
10,sorted_bam/SRR2559616_1_sorted.bam,-0.218245246,-0.034330023,-0.029199766,-0.084858264,C4,SRR2559616,Type I,_,C4_SRR2559616_Type I
11,sorted_bam/SRR2559618_1_sorted.bam,-0.098753729,0.073767885,0.159992247,-0.340949874,C4 X CannaTsu,SRR2559618,Hemp,_,C4 X CannaTsu_SRR2559618_Hemp
12,sorted_bam/SRR2559620_2_sorted.bam,-0.212100862,-0.069674551,-0.137203469,-0.040412703,Chemdog91_3,SRR2559621,Type I,_,Chemdog91_3_SRR2559621_Type I
13,sorted_bam/SRR2559622_1_sorted.bam,-0.242441818,-0.153319349,-0.079013638,-0.023282907,Otto_1,SRR2559622,Type III,_,Otto_1_SRR2559622_Type III
14,sorted_bam/SRR2559624_1_sorted.bam,-0.176878371,-0.237600949,0.016494658,-0.208030474,WiFi,SRR2559624,Type I,_,WiFi_SRR2559624_Type I
15,sorted_bam/SRR2559626_1_sorted.bam,-0.042241817,0.002502037,0.009771749,0.07811361,AlaskanIce,SRR2559626,Type I,_,AlaskanIce_SRR2559626_Type I
16,sorted_bam/SRR2559628_1_sorted.bam,-0.245339028,-0.089289197,-0.115601712,0.019631232,Black84_2,SRR2559628,Type I,_,Black84_2_SRR2559628_Type I
17,sorted_bam/SRR2559630_1_sorted.bam,-0.207002268,-0.103669831,-0.059177713,-0.083782585,BlueBerryEssence_2,SRR2559630,Type III,_,BlueBerryEssence_2_SRR2559630_Type III
18,sorted_bam/SRR2559632_1_sorted.bam,-0.193945925,-0.247232836,-0.050903099,-0.14089405,BlueDream_2,SRR2559632,Type I,_,BlueDream_2_SRR2559632_Type I
19,sorted_bam/SRR2567604_1_sorted.bam,-0.068016626,0.112727479,0.083665265,0.067777687,Kandy Kush_1,SRR2567604,Type I,_,Kandy Kush_1_SRR2567604_Type I
20,sorted_bam/SRR2567605_1_sorted.bam,-0.120995251,0.115005596,0.062216579,0.144926517,Kandy Kush_2,SRR2567605,Type I,_,Kandy Kush_2_SRR2567605_Type I
21,sorted_bam/SRR2567606_1_sorted.bam,-0.08428743,0.113319882,0.025537391,0.054430052,Kandy Kush_3,SRR2567606,Type I,_,Kandy Kush_3_SRR2567606_Type I
22,sorted_bam/SRR2567607_1_sorted.bam,-0.100866704,0.07623715,0.078560895,0.087745058,Kandy Kush_4,SRR2567607,Type I,_,Kandy Kush_4_SRR2567607_Type I
23,sorted_bam/SRR2567631_1_sorted.bam,-0.12881177,-0.00731164,0.04224622,0.030815996,Lester Grinspoon_1,SRR2567631,Type I,_,Lester Grinspoon_1_SRR2567631_Type I
24,sorted_bam/SRR2584118_1_sorted.bam,0.25802995,-0.182130166,0.046434768,-0.182843619,8MileHigh,SRR2584118,Type I,_,8MileHigh_SRR2584118_Type I
25,sorted_bam/SRR2584171_1_sorted.bam,0.045097996,0.049765871,-0.078530185,0.032410705,BlueBerryEssence_3,SRR2584171,Type III,_,BlueBerryEssence_3_SRR2584171_Type III
26,sorted_bam/SRR2584196_1_sorted.bam,-0.037148704,-0.03960183,0.031695376,0.069755637,BlueDream_3,SRR2584196,Type I,_,BlueDream_3_SRR2584196_Type I
27,sorted_bam/SRR2584198_1_sorted.bam,0.048616219,-0.118936521,-0.22186064,-0.352383764,BrzaillianGrapefruit,SRR2584198,Type I,_,BrzaillianGrapefruit_SRR2584198_Type I
28,sorted_bam/SRR2584200_1_sorted.bam,0.036087414,0.060542142,0.041575231,-0.033112184,Chocolope,SRR2584200,Type I,_,Chocolope_SRR2584200_Type I
29,sorted_bam/SRR2584222_1_sorted.bam,0.126940708,0.206377512,0.007070332,-0.087463063,Cinex,SRR2584222,Type I,_,Cinex_SRR2584222_Type I
