,Name,Cultivar,BAR
17,AfghanKush_Type I,AfghanKush,Type I
49,Afgooey_Type I,Afgooey,Type I
21,AK47_Type I,AK47,Type I
18,AlaskanIce_Type I,AlaskanIce,Type I
20,ArcataTrainWreck_Type I,ArcataTrainWreck,Type I
51,ArjanUltraHaze2_Type I,ArjanUltraHaze2,Type I
39,AustralianBastard_Type I,AustralianBastard,Type I
31,BlueBerryCheeseCake18_Type I,BlueBerryCheeseCake18,Type I
16,BlueBerryCheeseCakeBC2Fem_Type I,BlueBerryCheeseCakeBC2Fem,Type I
33,BlueBerryEssense_Type III,BlueBerryEssense,Type III
58,BlueDreamSCC_Type I,BlueDreamSCC,Type I
19,Breakthrough_Unknown,Breakthrough,Unknown
3,C4XCanatsuSCC_Type III,C4XCanatsuSCC,Type III
23,CanaTsuSCC_Type III,CanaTsuSCC,Type III
46,CaseyJones_Type I,CaseyJones,Type I
13,CBDMangoHaze_Type III,CBDMangoHaze,Type III
48,CheeseGHS_Type I,CheeseGHS,Type I
11,ChemDawg_Type I,ChemDawg,Type I
7,ChemDawg91_Type I,ChemDawg91,Type I
8,ChemDog_Type I,ChemDog,Type I
10,ChemDog18cycle_Type I,ChemDog18cycle,Type I
59,ChemdogXCherryPieSCC_Type I,ChemdogXCherryPieSCC,Type I
34,Cinex_Type I,Cinex,Type I
24,DakiniKushMale_Type I,DakiniKushMale,Type I
38,DeepPurpleHaze_Type I,DeepPurpleHaze,Type I
52,DiamondGirl_Type I,DiamondGirl,Type I
29,FireOG_Type I,FireOG,Type I
5,G4XSFMSCC_Unknown,G4XSFMSCC,Unknown
45,GirlScoutCookie_Type I,GirlScoutCookie,Type I
44,GrapeStomper_Type I,GrapeStomper,Type I
60,GreenCrackSCC_Type I,GreenCrackSCC,Type I
37,Haleys_Type I,Haleys,Type I
53,JackHerer_Type I,JackHerer,Type I
32,JambaCity_Type I,JambaCity,Type I
61,KushITSCC_Type,KushITSCC,Type I
40,LuckyCharms_Type I,LuckyCharms,Type I
22,MicheNepalMale_Unknown,MicheNepalMale,Unknown
35,MoonshineHaze2_Type I,MoonshineHaze2,Type I
56,OGKushSCC_Type I,OGKushSCC,Type I
27,OGKushTest1_Type I,OGKushTest1,Type I
6,OGXPKSCC_Unknown,OGXPKSCC,Unknown
4,PKX808OGSCC_Unknown,PKX808OGSCC,Unknown
50,PureKush_Type I,PureKush,Type I
14,RedDevil_Type I,RedDevil,Type I
42,Ringo_Type I,Ringo,Type I
25,RioNegraMale_Type I,RioNegraMale,Type I
54,RollexKush_Type I,RollexKush,Type I
30,RSP11241_Unknown,RSP11241,Unknown
1,SensiStarXSFMSCC_Type I,SensiStarXSFMSCC,Type I
15,SnoopDream_Type I,SnoopDream,Type I
36,SourTsunami_Type III,SourTsunami,Type III
2,SSHXWWSCC_Unknown,SSHXWWSCC,Unknown
55,SuperLemonHaze_Type I,SuperLemonHaze,Type I
57,TrainwreckSCC_Type I,TrainwreckSCC,Type I
28,Watermelonhazemale_Type I,Watermelonhazemale,Type I
12,WhiteWidow_Type I,WhiteWidow,Type I
47,WIFI_Type I,WIFI,Type I
41,WIFIGTUBE_Type I,WIFIGTUBE,Type I
9,WonderWoman_Type I,WonderWoman,Type I
43,WZ_Unknown,WZ,Unknown
26,YeddiMale_Unknown,YeddiMale,Unknown
