,sample.id,EV1,EV2,EV3,EV4,Cultivar,Type,HCPC,,
1,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/AK47_sorted.bam,0.004761714,0.063680032,0.1186829,-0.136360352,AK47,Type I,AK47_Type I,_,_
2,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/AfghanKush_sorted.bam,0.192063065,0.06108157,0.096202879,-0.03320834,AfghanKush,Type I,AfghanKush_Type I,_,_
3,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/Afgooey_sorted.bam,-0.169885375,-0.209870382,-0.12248493,-0.068745923,Afgooey,Type I,Afgooey_Type I,_,_
4,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/AlaskanIce_sorted.bam,0.077065337,0.072916317,0.130818348,0.168264151,AlaskanIce,Type I,AlaskanIce_Type I,_,_
5,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/ArcataTrainWreck_sorted.bam,0.025331563,0.157385049,0.13581738,-0.130732061,ArcataTrainWreck,Type I,ArcataTrainWreck_Type I,_,_
6,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/ArjanUltraHaze2_sorted.bam,-0.230056361,-0.214770891,-0.080353981,0.089790486,ArjanUltraHaze2,Type I,ArjanUltraHaze2_Type I,_,_
7,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/AustralianBastard_sorted.bam,-0.002996206,0.092344725,-0.030546559,-0.049100777,AustralianBastard,Type I,AustralianBastard_Type I,_,_
8,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/BlueBerryCheeseCake18_sorted.bam,0.005067053,-0.001990391,-0.000641635,0.004717589,BlueBerryCheeseCake18,Type I,BlueBerryCheeseCake18_Type I,_,_
9,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/BlueBerryCheeseCakeBC2Fem_sorted.bam,-0.026887381,0.191875218,0.016949724,0.129400349,BlueBerryCheeseCakeBC2Fem,Type I,BlueBerryCheeseCakeBC2Fem_Type I,_,_
10,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/BlueBerryEssense_sorted.bam,0.012465861,0.108229303,-0.0054243,-0.128095264,BlueBerryEssense,Type III,BlueBerryEssense_Type III,_,_
11,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/BlueDreamSCC_sorted.bam,-0.125192255,-0.057560722,0.281692378,0.124591803,BlueDreamSCC,Type I,BlueDreamSCC_Type I,_,_
12,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/Breakthrough_sorted.bam,0.089183641,0.137654999,0.154060626,0.11461471,Breakthrough,Unknown,Breakthrough_Unknown,_,_
13,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/C4XCanatsuSCC_sorted.bam,0.278697307,-0.191309103,0.094034407,-0.077711436,C4XCanatsuSCC,Type III,C4XCanatsuSCC_Type III,_,_
14,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/CBDMangoHaze_sorted.bam,0.052296428,0.117240289,0.055372882,0.049914732,CBDMangoHaze,Type III,CBDMangoHaze_Type III,_,_
15,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/CanaTsuSCC_sorted.bam,-0.071334594,0.009740743,0.097240026,-0.22598426,CanaTsuSCC,Type III,CanaTsuSCC_Type III,_,_
16,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/CaseyJones_sorted.bam,-0.061623816,0.031959187,-0.162920837,-0.19637293,CaseyJones,Type I,CaseyJones_Type I,_,_
17,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/CheeseGHS_sorted.bam,-0.113171121,-0.121037769,-0.106896622,-0.061038049,CheeseGHS,Type I,CheeseGHS_Type I,_,_
18,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/ChemDawg_sorted.bam,0.038246972,0.149908224,-0.185141714,0.25833104,ChemDawg,Type I,ChemDawg_Type I,_,_
19,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Kannapedia/Nuclear_cs10/sam_to_bam/sorted_bam/ChemDawg91_sorted.bam,-0.042186487,0.101831952,-0.172117028,0.162938456,ChemDawg91,Type I,ChemDawg91_Type I,_,_
