,sample.id,EV1,EV2,EV3,EV4,ANNA_ID,Cultivar,Type,HCPC,,Group
1,canna_1,0.030189184,-0.007167814,0.007438977,-0.052642532,canna_1,blue_dream_8,Type I,blue_dream_8_Type I_canna_1,_,group 4
2,canna_2,-0.049311706,-0.028878186,-0.087031744,-0.031197548,canna_2,ogre_valley,Type I,ogre_valley_Type I_canna_2,_,group 4
3,canna_3,0.036770108,0.00962592,0.013500507,-0.062639824,canna_3,blue_dream_9,Type I,blue_dream_9_Type I_canna_3,_,group 4
4,canna_4,0.044323875,0.011017165,0.005323678,-0.062505722,canna_4,blue_dream_10,Type I,blue_dream_10_Type I_canna_4,_,group 4
5,canna_5,-0.048572192,0.051364309,0.171220261,5.87E-05,canna_5,granddaddy_purple_1,Type I,granddaddy_purple_1_Type I_canna_5,_,group 4
6,canna_6,-0.031990041,-0.002263051,-0.044429583,0.011833283,canna_6,Octaine_OG_x_LSD,Type I,Octaine_OG_x_LSD_Type I_canna_6,_,group 3
7,canna_7,0.014592285,0.012087456,0.00806591,-0.020521045,canna_7,Blackberry_Kush_x_Colombian_Gold,Landrace,Blackberry_Kush_x_Colombian_Gold_Landrace_canna_7,_,group 4
8,canna_8,-0.080326291,-0.025530987,-0.049490083,0.030084729,canna_8,GG4_3,Type I,GG4_3_Type I_canna_8,_,group 4
9,canna_9,-0.034174931,-0.012252068,-0.07559579,-0.032819108,canna_9,sour,Type I,sour_Type I_canna_9,_,group 4
10,canna_10,-0.052098192,0.026504669,-0.010843383,-0.000886394,canna_10,koko_royal,Unknown,koko_royal_Unknown_canna_10,_,group 3
11,canna_11,-0.005271279,-0.008909587,-0.015466282,0.00450294,canna_11,royal_with_cheese,Type I,royal_with_cheese_Type I_canna_11,_,group 4
12,canna_12,-0.037393295,-0.02758552,-0.018262137,-0.014165282,canna_12,purple_glue,Type I,purple_glue_Type I_canna_12,_,group 4
13,canna_13,-0.103772007,-0.029622482,0.018317394,0.05427089,canna_13,do_si_do_1,Type I,do_si_do_1_Type I_canna_13,_,group 4
14,canna_14,-0.026222242,0.03230086,-0.070178636,0.032807607,canna_14,citrus_sap,Type I,citrus_sap_Type I_canna_14,_,group 4
15,canna_15,-0.016706893,-0.009241906,-0.007247553,-0.009793612,canna_15,S_x_SB_1,Type I,S_x_SB_1_Type I_canna_15,_,group 4
16,canna_16,0.01964389,-0.025678952,0.023365981,-0.019049122,canna_16,GG4_4,Type I,GG4_4_Type I_canna_16,_,group 4
17,canna_17,-0.033477494,-0.024584143,-0.022622832,0.015226598,canna_17,GG4_5,Type I,GG4_5_Type I_canna_17,_,group 4
18,canna_18,-0.013956261,-0.011307158,-0.004473486,-5.08E-06,canna_18,red_hindu_kush,Landrace,red_hindu_kush_Landrace_canna_18,_,group 4
19,canna_19,-0.021741501,-0.003821238,0.015250796,-0.009955276,canna_19,grookie,Type I,grookie_Type I_canna_19,_,group 4
20,canna_20,0.003946789,0.030761759,-0.008787906,0.025882395,canna_20,grippler_male_x_cookie_mister_female,Type I,grippler_male_x_cookie_mister_female_Type I_canna_20,_,group 4
21,canna_21,-0.02411615,0.016258473,0.018747217,-0.029445035,canna_21,cookie_mister_x_grippler_1,Type I,cookie_mister_x_grippler_1_Type I_canna_21,_,group 4
22,canna_22,-0.012123075,0.002559854,-0.002934072,-0.005186585,canna_22,cookie_mister_x_grippler_2,Type I,cookie_mister_x_grippler_2_Type I_canna_22,_,group 4
23,canna_23,0.027771723,0.060577209,-0.058696307,0.039102802,canna_23,purple_kush_blockhead,Type I,purple_kush_blockhead_Type I_canna_23,_,group 4
24,canna_24,0.021956227,-0.01247852,0.025304583,-0.052466473,canna_24,pineapple_express_x_grippler_7,Type I,pineapple_express_x_grippler_7_Type I_canna_24,_,group 4
25,canna_25,0.004450056,-0.019820834,0.021378624,-0.038930632,canna_25,pineapple_express_x_grippler,Type I,pineapple_express_x_grippler_Type I_canna_25,_,group 4
26,canna_26,0.002242261,0.011855455,-0.052497898,-0.022487687,canna_26,watermellon_sangria_1_1,Type I,watermellon_sangria_1_1_Type I_canna_26,_,group 4
27,canna_27,-0.017235926,0.010444126,-0.023996253,-0.01603672,canna_27,watermellon_sangria_1_2,Type I,watermellon_sangria_1_2_Type I_canna_27,_,group 4
28,canna_28,0.013774247,0.005161916,-0.037620001,0.002746498,canna_28,south_fork_og,Type I,south_fork_og_Type I_canna_28,_,group 4
29,canna_29,-0.051439855,-0.003217861,-0.033625888,-0.016176359,canna_29,valley_girl_1_the_one,Type I,valley_girl_1_the_one_Type I_canna_29,_,group 4
30,canna_30,0.001544178,-0.005717296,-0.004797249,-0.024962748,canna_30,purple_pheno_6_cookie_mister_x_grippler,Type I,purple_pheno_6_cookie_mister_x_grippler_Type I_canna_30,_,group 4
31,canna_31,-0.019661205,0.006754448,0.009259208,0.001344505,canna_31,purple_punch,Type I,purple_punch_Type I_canna_31,_,group 4
