,sample.id,EV1,EV2,EV3,EV4,Cultivar,Type2,Type2,Sex,Source,Ecotype,Type
344,Landrace_55,0.019662744,-0.034276303,0.040805426,0.011268579,Myanmar_Landrace_1,JD,Landrace_55,Unk,JD,Myanmar_Landrace,Myanmar_Landrace_1
345,Landrace_56,0.025208571,-0.050206225,0.014923951,0.002117462,Myanmar_Landrace_2,JD,Landrace_56,Unk,JD,Myanmar_Landrace,Myanmar_Landrace_2
346,Landrace_57,0.019805882,-0.053438008,0.025685951,-0.000111902,Myanmar_Landrace_3,JD,Landrace_57,Unk,JD,Myanmar_Landrace,Myanmar_Landrace_3
390,Landrace_96,0.018192659,-0.035944982,0.014154926,0.004277122,Myanmar_Landrace_4,JD,Landrace_96,Unk,JD,Myanmar_Landrace,Myanmar_Landrace_4
360,Landrace_66,0.030407788,-0.017523835,0.008779577,0.008438195,Cambodia_Landrace_1,JD,Landrace_66,Unk,JD,Cambodia_Landrace,Cambodia_Landrace_1
392,Landrace_98,0.005592945,-0.017130285,0.012126049,-0.000896907,Cambodia_Landrace_2,JD,Landrace_98,Unk,JD,Cambodia_Landrace,Cambodia_Landrace_2
338,Landrace_51,0.00666081,-0.011101674,0.003808315,-0.013486507,Chintal_Landrace_1,JD,Landrace_51,Unk,JD,Chintal_Landrace,Chintal_Landrace_1
339,Landrace_52,-0.020787614,0.007939903,0.028716464,0.008182885,Chintal_Landrace_2,JD,Landrace_52,Unk,JD,Chintal_Landrace,Chintal_Landrace_2
337,Landrace_50,0.001502004,-0.013314649,0.022620372,0.036741515,Hindu_Kush_1,JD,Landrace_50,Unk,JD,Hindu_Kush,Hindu_Kush_1
348,Landrace_59,0.014093921,-0.016639392,0.020474017,0.015434138,Hindu_Kush_2,JD,Landrace_59,Unk,JD,Hindu_Kush,Hindu_Kush_2
349,Landrace_60,-0.002594689,-0.011446785,0.010534089,0.0109236,Hindu_Kush_3,JD,Landrace_60,Unk,JD,Hindu_Kush,Hindu_Kush_3
350,Landrace_61,0.001852267,-0.010562539,0.025996591,0.00241954,Hindu_Kush_4,JD,Landrace_61,Unk,JD,Hindu_Kush,Hindu_Kush_4
351,Landrace_62,-0.004276197,-0.006811935,0.026461757,0.032867263,Hindu_Kush_5,JD,Landrace_62,Unk,JD,Hindu_Kush,Hindu_Kush_5
388,Landrace_94,0.003860787,-0.005733543,0.01120558,-0.028043325,Hindu_Kush_6,JD,Landrace_94,Unk,JD,Hindu_Kush,Hindu_Kush_6
340,Landrace_53,0.00953473,-0.038846074,0.026725472,0.000886838,Hunza_Landrace_1,JD,Landrace_53,Unk,JD,Hunza_Landrace,Hunza_Landrace_1
341,Landrace_54,0.009669288,-0.031350514,0.004207944,-0.029929996,Hunza_Landrace_2,JD,Landrace_54,Unk,JD,Hunza_Landrace,Hunza_Landrace_2
352,Landrace_63,-0.013872038,-0.006449777,0.002219025,-0.014444066,indian_landrace_1,JD,Landrace_63,Unk,JD,Indian_landrace,Indian_landrace_1
353,Landrace_64,-0.010520057,0.009741371,0.026075799,0.003477309,indian_landrace_2,JD,Landrace_64,Unk,JD,Indian_landrace,Indian_landrace_2
361,Landrace_67,-0.010850053,-0.011270426,0.019593267,0.000766143,Lolab_Valley_Kashmir_Landrace_1,JD,Landrace_67,Unk,JD,Lolab_Valley_Kashmir_Landrace,Lolab_Valley_Kashmir_Landrace_1
362,Landrace_68,0.012597833,-0.029895136,0.00998845,-0.003784051,Lolab_Valley_Kashmir_Landrace_2,JD,Landrace_68,Unk,JD,Lolab_Valley_Kashmir_Landrace,Lolab_Valley_Kashmir_Landrace_2
363,Landrace_69,0.011921037,-0.019873474,0.025790997,0.009112759,Lolab_Valley_Kashmir_Landrace_3,JD,Landrace_69,Unk,JD,Lolab_Valley_Kashmir_Landrace,Lolab_Valley_Kashmir_Landrace_3
391,Landrace_97,-0.005839807,-0.022509041,0.016769681,-0.001304386,Lolab_Valley_Kashmir_Landrace_4,JD,Landrace_97,Unk,JD,Lolab_Valley_Kashmir_Landrace,Lolab_Valley_Kashmir_Landrace_4
347,Landrace_58,-0.007083443,-0.014899989,0.018581387,0.022575412,NW_bolochistan_landrace,JD,Landrace_58,Unk,JD,NW_bolochistan_landrace,NW_bolochistan_landrace
354,Landrace_65,0.012613949,-0.028808335,0.02978,0.005061353,pakistani_landrace_1,JD,Landrace_65,Unk,JD,Pakistani_landrace,Pakistani_landrace_1
387,Landrace_93,-0.002954527,-0.017794757,0.005135822,-0.00742013,pakistani_landrace_2,JD,Landrace_93,Unk,JD,Pakistani_landrace,Pakistani_landrace_2
389,Landrace_95,0.022295377,-0.022055671,-0.003815511,-0.019014157,Wailing_Valley_Malana_Landrace,JD,Landrace_95,Unk,JD,Wailing_Valley_Malana_Landrace,Wailing_Valley_Malana_Landrace
