,sample.id,EV1,EV2,EV3,EV4,SRR Number,Cultivar,Type ,Phlyostype,Cultivar_full,,
372,sorted_bam/SRR8346754_sorted.bam,0.011005432,-0.059153853,0.022582345,0.025476182,SRR8346754,Purple_Punch_PGT_119538,Type I,Berry,Purple_Punch_PGT_119538_Type I_Berry_SRR8346754,,_
143,sorted_bam/SRR8346525_sorted.bam,-0.012198104,0.021795342,0.022631398,0.012552274,SRR8346525,R_1_PGT_119505,Type I,Berry,R_1_PGT_119505_Type I_Berry_SRR8346525,,_
1151,sorted_bam/SRR8349208_sorted.bam,0.025380971,0.024673145,0.038861358,0.016539111,SRR8349208,60_PGT_33851,Type I,Berry,60_PGT_33851_Type I_Berry_SRR8349208,,_
753,sorted_bam/SRR8347135_sorted.bam,0.00388129,-0.004234906,-0.008790329,-0.022416035,SRR8347135,AK_47_PGT_126694,Type I,Berry,AK_47_PGT_126694_Type I_Berry_SRR8347135,,_
788,sorted_bam/SRR8347170_sorted.bam,0.00935957,0.018207528,0.016904849,-0.004445279,SRR8347170,Alien_Life_Form_21_PGT_119490,Type I,Berry,Alien_Life_Form_21_PGT_119490_Type I_Berry_SRR8347170,,_
791,sorted_bam/SRR8347173_sorted.bam,0.020583731,-0.034622313,0.035668723,-0.010851666,SRR8347173,Alien_Life_Form_5_PGT_119491,Type I,Berry,Alien_Life_Form_5_PGT_119491_Type I_Berry_SRR8347173,,_
341,sorted_bam/SRR8346723_sorted.bam,0.013649217,-0.01008667,0.082164223,0.051304707,SRR8346723,Animal_Cookies_PGT_108294,Type I,Berry,Animal_Cookies_PGT_108294_Type I_Berry_SRR8346723,,_
472,sorted_bam/SRR8346854_sorted.bam,0.011382753,0.010694428,0.091225958,0.031641446,SRR8346854,Animal_Cookies_PGT_112201,Type I,Berry,Animal_Cookies_PGT_112201_Type I_Berry_SRR8346854,,_
72,sorted_bam/SRR8346454_sorted.bam,0.014120515,-0.009884322,0.084682823,0.050620666,SRR8346454,Animal_Cookies_PGT_126644,Type I,Berry,Animal_Cookies_PGT_126644_Type I_Berry_SRR8346454,,_
364,sorted_bam/SRR8346746_sorted.bam,0.025104713,0.00511772,0.032311449,0.006930595,SRR8346746,Animal_Mints_PGT_112245,Type I,Berry,Animal_Mints_PGT_112245_Type I_Berry_SRR8346746,,_
410,sorted_bam/SRR8346792_sorted.bam,0.045018728,-0.04996267,0.031691656,0.032858341,SRR8346792,Animal_OG_PGT_102359,Type I,Berry,Animal_OG_PGT_102359_Type I_Berry_SRR8346792,,_
53,sorted_bam/SRR8346435_sorted.bam,0.001295637,-0.007660909,0.015921075,0.023445828,SRR8346435,Ape_Hanger_2_PGT_112239,Type I,Berry,Ape_Hanger_2_PGT_112239_Type I_Berry_SRR8346435,,_
1096,sorted_bam/SRR8349153_sorted.bam,0.01040437,0.016135233,0.027431891,0.019281608,SRR8349153,Apricot_Jelly_PGT_198238,Type I,Berry,Apricot_Jelly_PGT_198238_Type I_Berry_SRR8349153,,_
735,sorted_bam/SRR8347117_sorted.bam,0.037829508,-0.001778727,0.057727581,0.00037598,SRR8347117,Astral_OG_PGT_18306,Type I,Berry,Astral_OG_PGT_18306_Type I_Berry_SRR8347117,,_
76,sorted_bam/SRR8346458_sorted.bam,-0.014840202,-0.002761857,-0.02946882,0.012571019,SRR8346458,Astral_Works_PGT_115278,Type I,Berry,Astral_Works_PGT_115278_Type I_Berry_SRR8346458,,_
92,sorted_bam/SRR8346474_sorted.bam,-0.004657341,-0.03701646,0.02524682,-0.006539821,SRR8346474,BC_5_PGT_108275,Type I,Berry,BC_5_PGT_108275_Type I_Berry_SRR8346474,,_
338,sorted_bam/SRR8346720_sorted.bam,0.040515033,-0.028149849,-0.004420626,0.037328974,SRR8346720,Black_Dog_BC4_RIC4_PGT_161700,Type I,Berry,Black_Dog_BC4_RIC4_PGT_161700_Type I_Berry_SRR8346720,,_
701,sorted_bam/SRR8347083_sorted.bam,0.005482036,-0.046951474,0.060318274,0.003116668,SRR8347083,Blissful_Wizard_PGT_119526,Type I,Berry,Blissful_Wizard_PGT_119526_Type I_Berry_SRR8347083,,_
867,sorted_bam/SRR8347249_sorted.bam,-0.007233507,-0.046693648,0.035823601,0.006144303,SRR8347249,Blueberry_Sour_Diesel_PGT_132761,Type I,Berry,Blueberry_Sour_Diesel_PGT_132761_Type I_Berry_SRR8347249,,_
342,sorted_bam/SRR8346724_sorted.bam,0.021512036,-0.027478767,0.063273013,0.02484421,SRR8346724,Canbyland_PGT_108295,Type I,Berry,Canbyland_PGT_108295_Type I_Berry_SRR8346724,,_
1291,sorted_bam/SRR8349348_sorted.bam,0.009569773,0.013102877,0.090044107,0.033099651,SRR8349348,Candy_Land_PGT_198181,Type I,Berry,Candy_Land_PGT_198181_Type I_Berry_SRR8349348,,_
1033,sorted_bam/SRR8349090_sorted.bam,0.007125263,0.014210593,0.092149272,0.030917894,SRR8349090,Candyland_PGT_87983,Type I,Berry,Candyland_PGT_87983_Type I_Berry_SRR8349090,,_
383,sorted_bam/SRR8346765_sorted.bam,0.000587317,-0.000189524,0.013624986,0.019542001,SRR8346765,Caps_Mac_The_Mac_PGT_119530,Type I,Berry,Caps_Mac_The_Mac_PGT_119530_Type I_Berry_SRR8346765,,_
1209,sorted_bam/SRR8349266_sorted.bam,-0.001584847,0.005903024,0.045780702,0.03474561,SRR8349266,Casey_Cookies_PGT_20161,Type I,Berry,Casey_Cookies_PGT_20161_Type I_Berry_SRR8349266,,_
1009,sorted_bam/SRR8349066_sorted.bam,0.041909125,-0.006891372,0.050967682,0.009394442,SRR8349066,Charlie_Girl_PGT_33836,Type I,Berry,Charlie_Girl_PGT_33836_Type I_Berry_SRR8349066,,_
655,sorted_bam/SRR8347037_sorted.bam,-0.009576106,0.031705975,0.037779716,-0.004208275,SRR8347037,Cherry_7_PGT_18292,Type I,Berry,Cherry_7_PGT_18292_Type I_Berry_SRR8347037,,_
1293,sorted_bam/SRR8349350_sorted.bam,0.02530952,-0.039204592,0.041502225,0.015310567,SRR8349350,Cherry_Cookies_PGT_198182,Type I,Berry,Cherry_Cookies_PGT_198182_Type I_Berry_SRR8349350,,_
1243,sorted_bam/SRR8349300_sorted.bam,-0.017774662,0.007338069,0.015695498,0.000697697,SRR8349300,Cherry_Cream_Pie_PGT_198176,Type I,Berry,Cherry_Cream_Pie_PGT_198176_Type I_Berry_SRR8349300,,_
308,sorted_bam/SRR8346690_sorted.bam,0.006049401,0.023325552,0.059997829,0.002029832,SRR8346690,Cherry_I_PGT_112226,Type I,Berry,Cherry_I_PGT_112226_Type I_Berry_SRR8346690,,_
1056,sorted_bam/SRR8349113_sorted.bam,0.02665177,-0.04091764,0.045385248,0.015455359,SRR8349113,Cherry_Kush_PGT_20108,Type I,Berry,Cherry_Kush_PGT_20108_Type I_Berry_SRR8349113,,_
1327,sorted_bam/SRR8349384_sorted.bam,-0.019815007,0.020834128,0.017444044,0.016366923,SRR8349384,Cherry_Pie_PGT_88196,Type I,Berry,Cherry_Pie_PGT_88196_Type I_Berry_SRR8349384,,_
804,sorted_bam/SRR8347186_sorted.bam,-0.028897254,0.034802482,0.018484157,0.026155414,SRR8347186,Cherry_Pie_Leone_PGT_112183,Type I,Berry,Cherry_Pie_Leone_PGT_112183_Type I_Berry_SRR8347186,,_
5,sorted_bam/SRR8346387_sorted.bam,0.009989642,-0.03512151,0.021737346,0.035174385,SRR8346387,Cookie_Wreck_PGT_15234,Type I,Berry,Cookie_Wreck_PGT_15234_Type I_Berry_SRR8346387,,_
211,sorted_bam/SRR8346593_sorted.bam,0.006603111,0.012490092,0.017605761,-0.012327312,SRR8346593,Cookies_+_Cream_PGT_147515,Type I,Berry,Cookies_+_Cream_PGT_147515_Type I_Berry_SRR8346593,,_
929,sorted_bam/SRR8348986_sorted.bam,0.019151703,-0.042437646,0.013473335,0.017498935,SRR8348986,Cookies_n_Cream_PGT_33868,Type I,Berry,Cookies_n_Cream_PGT_33868_Type I_Berry_SRR8348986,,_
609,sorted_bam/SRR8346991_sorted.bam,0.003355968,-0.015161298,0.007975566,-0.013186118,SRR8346991,Cosmic_Lotus_21_PGT_179989,Type I,Berry,Cosmic_Lotus_21_PGT_179989_Type I_Berry_SRR8346991,,_
1100,sorted_bam/SRR8349157_sorted.bam,-0.001129496,-0.01943176,-0.011458914,0.020295347,SRR8349157,Crescendo_PGT_198234,Type I,Berry,Crescendo_PGT_198234_Type I_Berry_SRR8349157,,_
1249,sorted_bam/SRR8349306_sorted.bam,0.018263874,-0.011192115,0.035169361,-0.02105292,SRR8349306,Dark_Matter_PGT_88185,Type I,Berry,Dark_Matter_PGT_88185_Type I_Berry_SRR8349306,,_
623,sorted_bam/SRR8347005_sorted.bam,0.029569882,0.002535668,0.026088643,0.037501955,SRR8347005,Davy_Jones_PGT_119543,Type I,Berry,Davy_Jones_PGT_119543_Type I_Berry_SRR8347005,,_
433,sorted_bam/SRR8346815_sorted.bam,0.044976112,-0.030669654,0.051586331,0.025445079,SRR8346815,Dolato_PGT_126682,Type I,Berry,Dolato_PGT_126682_Type I_Berry_SRR8346815,,_
745,sorted_bam/SRR8347127_sorted.bam,0.01760102,-0.017839289,0.038594739,0.000828099,SRR8347127,Don_Carlos_PGT_105054,Type I,Berry,Don_Carlos_PGT_105054_Type I_Berry_SRR8347127,,_
1265,sorted_bam/SRR8349322_sorted.bam,0.042532955,0.003244058,0.038545274,-0.003262268,SRR8349322,Dosi_Do_PGT_33857,Type I,Berry,Dosi_Do_PGT_33857_Type I_Berry_SRR8349322,,_
1164,sorted_bam/SRR8349221_sorted.bam,0.044246862,0.001624351,0.04155711,-0.006296143,SRR8349221,Dosi_Do_PGT_87972,Type I,Berry,Dosi_Do_PGT_87972_Type I_Berry_SRR8349221,,_
346,sorted_bam/SRR8346728_sorted.bam,0.043347435,0.002508685,0.040610577,-0.004924365,SRR8346728,Dosidos_PGT_108299,Type I,Berry,Dosidos_PGT_108299_Type I_Berry_SRR8346728,,_
1236,sorted_bam/SRR8349293_sorted.bam,0.026486086,-0.040375135,0.041456174,0.017651259,SRR8349293,Dosidos_PGT_198177,Type I,Berry,Dosidos_PGT_198177_Type I_Berry_SRR8349293,,_
290,sorted_bam/SRR8346672_sorted.bam,0.018431879,-0.006069105,0.062939703,0.022863778,SRR8346672,Double_OG_Sour_Scout_12_PGT_112185,Type I,Berry,Double_OG_Sour_Scout_12_PGT_112185_Type I_Berry_SRR8346672,,_
393,sorted_bam/SRR8346775_sorted.bam,0.012632915,-0.036587311,-0.009959774,0.020384996,SRR8346775,Durango_Lemon_Purp_PGT_104965,Type I,Berry,Durango_Lemon_Purp_PGT_104965_Type I_Berry_SRR8346775,,_
203,sorted_bam/SRR8346585_sorted.bam,-0.006828077,-0.002130138,0.029714661,0.029569627,SRR8346585,Durban_Sherbet_PGT_108323,Type I,Berry,Durban_Sherbet_PGT_108323_Type I_Berry_SRR8346585,,_
329,sorted_bam/SRR8346711_sorted.bam,0.031354159,-0.041897092,0.058266638,0.05030675,SRR8346711,Eagle_Scout_Cookies_PGT_108290,Type I,Berry,Eagle_Scout_Cookies_PGT_108290_Type I_Berry_SRR8346711,,_
222,sorted_bam/SRR8346604_sorted.bam,0.009343921,-0.011009633,0.083976724,0.039255781,SRR8346604,Flower_Stem_PGT_115259,Type I,Berry,Flower_Stem_PGT_115259_Type I_Berry_SRR8346604,,_
894,sorted_bam/SRR8347276_sorted.bam,0.027714593,-0.040197545,0.039740192,0.017664417,SRR8347276,Fortune_Cookie_PGT_15887,Type I,Berry,Fortune_Cookie_PGT_15887_Type I_Berry_SRR8347276,,_
799,sorted_bam/SRR8347181_sorted.bam,0.009177074,0.010096293,0.09176751,0.033549005,SRR8347181,Forum_Cookies_PGT_112207,Type I,Berry,Forum_Cookies_PGT_112207_Type I_Berry_SRR8347181,,_
77,sorted_bam/SRR8346459_sorted.bam,-0.000507478,-0.009236845,0.07773813,0.034654479,SRR8346459,Frosting_PGT_102323,Type I,Berry,Frosting_PGT_102323_Type I_Berry_SRR8346459,,_
370,sorted_bam/SRR8346752_sorted.bam,-0.006722597,0.027378654,0.025395772,0.022355146,SRR8346752,Frosting_PGT_126676,Type I,Berry,Frosting_PGT_126676_Type I_Berry_SRR8346752,,_
