,sample.id,EV1,EV2,EV3,EV4,SRR Number,Cultivar,Type ,Phlyostype,Cultivar_full_old,,,Clarke_type,,Cultivar_full
1,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_PRJNA_510566/Nuclear_cs10/sam_to_bam/sorted_bam/SRR8346383_sorted.bam,-0.015976343,-0.02162975,-0.007094472,-0.03895342,SRR8346383,Purple_Lotus_7_PGT_179993,Type I,Skunk,Purple_Lotus_7_PGT_179993_Type I_Skunk_SRR8346383,,_,Type I,,Purple_Lotus_7_PGT_179993_SRR8346383_Type I
2,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_PRJNA_510566/Nuclear_cs10/sam_to_bam/sorted_bam/SRR8346384_sorted.bam,0.052877716,-0.009134497,-0.028697158,0.040101686,SRR8346384,Jungle_Cake_PGT_126684,Type I,OG Kush,Jungle_Cake_PGT_126684_Type I_OG Kush_SRR8346384,,_,Type I,,Jungle_Cake_PGT_126684_SRR8346384_Type I
3,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_PRJNA_510566/Nuclear_cs10/sam_to_bam/sorted_bam/SRR8346385_sorted.bam,-0.005187933,0.012284434,0.00416651,0.001602987,SRR8346385,TBD_PGT_15235,Type I,Skunk,TBD_PGT_15235_Type I_Skunk_SRR8346385,,_,Type I,,TBD_PGT_15235_SRR8346385_Type I
4,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_PRJNA_510566/Nuclear_cs10/sam_to_bam/sorted_bam/SRR8346386_sorted.bam,0.023022919,-0.031244915,0.024854099,0.037062658,SRR8346386,Platinum_Punch_PGT_126685,Type I,Berry,Platinum_Punch_PGT_126685_Type I_Berry_SRR8346386,,_,Type I,,Platinum_Punch_PGT_126685_SRR8346386_Type I
5,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_PRJNA_510566/Nuclear_cs10/sam_to_bam/sorted_bam/SRR8346387_sorted.bam,0.009989642,-0.03512151,0.021737346,0.035174385,SRR8346387,Cookie_Wreck_PGT_15234,Type I,Berry,Cookie_Wreck_PGT_15234_Type I_Berry_SRR8346387,,_,Type I,,Cookie_Wreck_PGT_15234_SRR8346387_Type I
6,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_PRJNA_510566/Nuclear_cs10/sam_to_bam/sorted_bam/SRR8346388_sorted.bam,-0.005633607,0.067425744,0.011828149,-0.011462179,SRR8346388,New_York_City_Diesel_PGT_15233,Type I,Skunk,New_York_City_Diesel_PGT_15233_Type I_Skunk_SRR8346388,,_,Type I,,New_York_City_Diesel_PGT_15233_SRR8346388_Type I
7,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_PRJNA_510566/Nuclear_cs10/sam_to_bam/sorted_bam/SRR8346389_sorted.bam,0.01296032,0.057167471,0.026557605,-0.03578135,SRR8346389,Guava_IX_2_PGT_180004,Type I,OG Kush,Guava_IX_2_PGT_180004_Type I_OG Kush_SRR8346389,,_,Type I,,Guava_IX_2_PGT_180004_SRR8346389_Type I
8,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_PRJNA_510566/Nuclear_cs10/sam_to_bam/sorted_bam/SRR8346390_sorted.bam,-0.046182061,0.015667739,-0.023412199,0.067938688,SRR8346390,Sunshine_Daydream_PGT_180005,Type I,Skunk,Sunshine_Daydream_PGT_180005_Type I_Skunk_SRR8346390,,_,Type I,,Sunshine_Daydream_PGT_180005_SRR8346390_Type I
9,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_PRJNA_510566/Nuclear_cs10/sam_to_bam/sorted_bam/SRR8346391_sorted.bam,-0.001600504,-0.014599991,-0.017956709,-0.002061797,SRR8346391,Midnight_PGT_179992,Type I,OG Kush,Midnight_PGT_179992_Type I_OG Kush_SRR8346391,,_,Type I,,Midnight_PGT_179992_SRR8346391_Type I
10,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_PRJNA_510566/Nuclear_cs10/sam_to_bam/sorted_bam/SRR8346392_sorted.bam,-0.010935768,0.012917889,-0.01842261,-0.015288398,SRR8346392,Berry_White_PGT_132740,Type I,Skunk,Berry_White_PGT_132740_Type I_Skunk_SRR8346392,,_,Type I,,Berry_White_PGT_132740_SRR8346392_Type I
