,sample.id,EV1,EV2,EV3,EV4,,,,,Type,Cultivar,,Group,core,Phylos_type,Type_final
505,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Mother_of_Berries_a1_SRR4448189_1_THC_Dominant_sorted.bam,0.00735882,0.0214585,-0.0375083,0.04866643,Mother_of_Berries_a1,_,SRR4448189_1,_,Type_I_,Mother_of_Berries_a1_SRR4448189_1_Type_I_,Mother_of_Berries_a1_SRR4448189_1_Type_I_,Group 3,,Hemp,Hemp
87,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Black_Haze_a1_SRR4448193_1_THC_Dominant_sorted.bam,0.03441476,0.01291739,-0.0038669,-0.0172469,Black_Haze_a1,_,SRR4448193_1,_,Type_I_,Black_Haze_a1_SRR4448193_1_Type_I_,Black_Haze_a1_SRR4448193_1_Type_I_,Group 2,,Hemp,Hemp
490,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Mendo_Bubba_a1_SRR4448196_1_THC_Dominant_sorted.bam,-0.0425532,0.08366913,0.02128435,0.04934975,Mendo_Bubba_a1,_,SRR4448196_1,_,Type_I_,Mendo_Bubba_a1_SRR4448196_1_Type_I_,Mendo_Bubba_a1_SRR4448196_1_Type_I_,Group 3,,Hemp,Hemp
813,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Whitaker_Blue_a1_SRR4448213_1_THC_Dominant_sorted.bam,0.00779388,0.03493351,-0.0187508,-0.0031921,Whitaker_Blue_a1,_,SRR4448213_1,_,Type_I_,Whitaker_Blue_a1_SRR4448213_1_Type_I_,Whitaker_Blue_a1_SRR4448213_1_Type_I_,Group 3,,Hemp,Hemp
777,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Trainwreck_a1_SRR4448215_1_THC_Dominant_sorted.bam,0.01925415,3.10E-05,0.02346696,0.05078514,Trainwreck_a1,_,SRR4448215_1,_,Type_I_,Trainwreck_a1_SRR4448215_1_Type_I_,Trainwreck_a1_SRR4448215_1_Type_I_,Group 1,,Hemp,Hemp
38,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Afghoo_a1_SRR4448216_1_THC_Dominant_sorted.bam,0.02132713,0.00162605,0.01402969,0.06377418,Afghoo_a1,_,SRR4448216_1,_,Type_I_,Afghoo_a1_SRR4448216_1_Type_I_,Afghoo_a1_SRR4448216_1_Type_I_,Group 1,,Hemp,Hemp
584,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Pink_Champagne_a1_SRR4448223_1_THC_Dominant_sorted.bam,0.00014595,4.05E-06,-0.0457986,0.04933911,Pink_Champagne_a1,_,SRR4448223_1,_,Type_I_,Pink_Champagne_a1_SRR4448223_1_Type_I_,Pink_Champagne_a1_SRR4448223_1_Type_I_,Group 3,,Hemp,Hemp
823,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/White_Rhino_a1_SRR4448241_1_THC_Dominant_sorted.bam,-0.0102548,0.06805526,0.01494877,0.01118648,White_Rhino_a1,_,SRR4448241_1,_,Type_I_,White_Rhino_a1_SRR4448241_1_Type_I_,White_Rhino_a1_SRR4448241_1_Type_I_,Group 3,,Hemp,Hemp
185,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Cherry_Cola_a1_SRR4448242_1_THC_Dominant_sorted.bam,0.00290734,0.10466184,-0.045074,0.00476718,Cherry_Cola_a1,_,SRR4448242_1,_,Type_I_,Cherry_Cola_a1_SRR4448242_1_Type_I_,Cherry_Cola_a1_SRR4448242_1_Type_I_,Group 3,,Hemp,Hemp
524,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Northshore_Maui_a1_SRR4448245_1_THC_Dominant_sorted.bam,0.03123226,0.03149744,-0.0236167,-0.0253589,Northshore_Maui_a1,_,SRR4448245_1,_,Type_I_,Northshore_Maui_a1_SRR4448245_1_Type_I_,Northshore_Maui_a1_SRR4448245_1_Type_I_,Group 2,,Hemp,Hemp
304,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/God_Bud_a1_SRR4448246_1_THC_Dominant_sorted.bam,0.00262567,0.00068072,-0.0519952,0.03411122,God_Bud_a1,_,SRR4448246_1,_,Type_I_,God_Bud_a1_SRR4448246_1_Type_I_,God_Bud_a1_SRR4448246_1_Type_I_,Group 3,,Hemp,Hemp
33,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Afghan_a1_SRR4448250_1_Hemp_sorted.bam,-0.0025222,0.01463628,0.02214667,0.0188334,Afghan_a1,_,SRR4448250_1,_,Hemp,Afghan_a1_SRR4448250_1_Hemp,Afghan_a1_SRR4448250_1_Hemp,Group 1,,Hemp,Hemp
622,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Purple_Pineapple_Afghani_a1_SRR4448258_1_THC_Dominant_sorted.bam,0.01580521,-0.0133038,0.01720403,0.02903965,Purple_Pineapple_Afghani_a1,_,SRR4448258_1,_,Type_I_,Purple_Pineapple_Afghani_a1_SRR4448258_1_Type_I_,Purple_Pineapple_Afghani_a1_SRR4448258_1_Type_I_,Group 1,,Hemp,Hemp
273,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/F2_a1_SRR4448259_1_UNKNOWN_sorted.bam,-0.0098661,0.03894294,-0.0204356,0.03629169,F2_a1,_,SRR4448259_1,_,UNKNOWN,F2_a1_SRR4448259_1_UNKNOWN,F2_a1_SRR4448259_1_UNKNOWN,Group 3,,Hemp,Hemp
744,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Sweet_tooth_a1_SRR4448260_1_THC_Dominant_sorted.bam,0.0313972,0.02207772,0.01770642,-0.0074306,Sweet_tooth_a1,_,SRR4448260_1,_,Type_I_,Sweet_tooth_a1_SRR4448260_1_Type_I_,Sweet_tooth_a1_SRR4448260_1_Type_I_,Group 2,,Hemp,Hemp
532,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Obama_Kush_a1_SRR4448261_1_THC_Dominant_sorted.bam,-0.0479615,0.08826403,0.02461989,0.04975592,Obama_Kush_a1,_,SRR4448261_1,_,Type_I_,Obama_Kush_a1_SRR4448261_1_Type_I_,Obama_Kush_a1_SRR4448261_1_Type_I_,Group 3,,Hemp,Hemp
621,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Purple_Mr._Nice_a1_SRR4448268_1_THC_Dominant_sorted.bam,0.00166222,0.01742295,-0.019393,0.05368391,Purple_Mr._Nice_a1,_,SRR4448268_1,_,Type_I_,Purple_Mr._Nice_a1_SRR4448268_1_Type_I_,Purple_Mr._Nice_a1_SRR4448268_1_Type_I_,Group 3,,Hemp,Hemp
338,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Harlee_TSU_a1_SRR4448280_1_CBD_Dominant_sorted.bam,0.01938805,-0.0318285,0.02267726,0.03259577,Harlee_TSU_a1,_,SRR4448280_1,_,Type_III_,Harlee_TSU_a1_SRR4448280_1_Type_III_,Harlee_TSU_a1_SRR4448280_1_Type_III_,Group 1,,Hemp,Hemp
231,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Dark_Desire_a1_SRR4448281_1_THC_Dominant_sorted.bam,0.02200064,0.00830533,-0.001879,0.04423119,Dark_Desire_a1,_,SRR4448281_1,_,Type_I_,Dark_Desire_a1_SRR4448281_1_Type_I_,Dark_Desire_a1_SRR4448281_1_Type_I_,Group 1,,Hemp,Hemp
222,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Cotton_Candy_Kush_a1_SRR4448283_1_THC_Dominant_sorted.bam,0.00377504,-0.0012428,-0.0460028,0.0474435,Cotton_Candy_Kush_a1,_,SRR4448283_1,_,Type_I_,Cotton_Candy_Kush_a1_SRR4448283_1_Type_I_,Cotton_Candy_Kush_a1_SRR4448283_1_Type_I_,Group 3,,Hemp,Hemp
484,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Maui_Wowie_a1_SRR4448284_1_THC_Dominant_sorted.bam,0.03130849,0.03298744,-0.0243854,-0.0266059,Maui_Wowie_a1,_,SRR4448284_1,_,Type_I_,Maui_Wowie_a1_SRR4448284_1_Type_I_,Maui_Wowie_a1_SRR4448284_1_Type_I_,Group 2,,Hemp,Hemp
186,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Cherry_Kush_a1_SRR4448286_1_THC_Dominant_sorted.bam,0.00153309,-0.0088174,-0.0457541,0.04287316,Cherry_Kush_a1,_,SRR4448286_1,_,Type_I_,Cherry_Kush_a1_SRR4448286_1_Type_I_,Cherry_Kush_a1_SRR4448286_1_Type_I_,Group 3,,Hemp,Hemp
111,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Blue_Dragon_a1_SRR4448287_1_THC_Dominant_sorted.bam,0.00857962,0.03297156,-0.0186732,0.05136252,Blue_Dragon_a1,_,SRR4448287_1,_,Type_I_,Blue_Dragon_a1_SRR4448287_1_Type_I_,Blue_Dragon_a1_SRR4448287_1_Type_I_,Group 3,core 2,Hemp,Hemp
76,/home/ahmccorm/kantar_lts/anna/bwa_alignments/Phylos_2022/Nuclear_cs10/sam_to_bam/sorted_bam/Berry_White_a1_SRR4448291_1_THC_Dominant_sorted.bam,0.01403135,0.00503993,0.02430797,0.04858126,Berry_White_a1,_,SRR4448291_1,_,Type_I_,Berry_White_a1_SRR4448291_1_Type_I_,Berry_White_a1_SRR4448291_1_Type_I_,Group 1,,Hemp,Hemp
