,sample.id,EV1,EV2,EV3,EV4,Cultivar,Type,HCPC,
1,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9043847.1_1_sorted.bam,-0.130567936,-0.192705243,-0.023144203,-0.194300212,880824-F.R1.fastq.gz_SRR9043847_CGN Genebank,unknown,880824-F.R1.fastq.gz_SRR9043847_CGN Genebank_unknown,_
2,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9043850.1_1_sorted.bam,-0.177651958,0.010886196,0.05842445,0.185684181,821018-18-F.R1.fastq.gz_SRR9043850_CGN Genebank,unknown,821018-18-F.R1.fastq.gz_SRR9043850_CGN Genebank_unknown,_
3,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089225.1_1_sorted.bam,0.070396661,-0.008556699,-0.002478384,0.087645608,Bsh-01-F.R1.fastq.gz.1_SRR9089225_South Khorasan_Boshruyeh,Type I,Bsh-01-F.R1.fastq.gz.1_SRR9089225_South Khorasan_Boshruyeh_Type I,_
4,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089226.1_1_sorted.bam,-0.181688477,-0.11830979,0.052522458,0.027671242,CAN18-M-2.R1.fastq.gz.1_SRR9089226_IPK Genebank,unknown,CAN18-M-2.R1.fastq.gz.1_SRR9089226_IPK Genebank_unknown,_
5,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089227.1_1_sorted.bam,-0.150531262,-0.236607561,0.041254512,-0.253989005,CAN18-F.R1.fastq.gz.1_SRR9089227_IPK Genebank,unknown,CAN18-F.R1.fastq.gz.1_SRR9089227_IPK Genebank_unknown,_
6,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089228.1_1_sorted.bam,-0.073350831,0.132986193,0.040185184,0.031093421,Ban-01-M-2.R1.fastq.gz.1_SRR9089228_Kurdistan_Baneh,Type III,Ban-01-M-2.R1.fastq.gz.1_SRR9089228_Kurdistan_Baneh_Type III,_
7,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089229.1_1_sorted.bam,-0.046947609,0.147367494,0.027298462,0.009457611,Ban-01-F.R1.fastq.gz.1_SRR9089229_Kurdistan_Baneh,Type III,Ban-01-F.R1.fastq.gz.1_SRR9089229_Kurdistan_Baneh_Type III,_
8,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089230.1_1_sorted.bam,0.083826841,0.017824458,0.063558606,0.00356893,Saad-01-F.R1.fastq.gz.1_SRR9089230_Fars_Saadat Shahr,unknown,Saad-01-F.R1.fastq.gz.1_SRR9089230_Fars_Saadat Shahr_unknown,_
9,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089231.1_1_sorted.bam,-0.071480045,0.174481976,-0.027429959,-0.117159381,Saad-01-M.R1.fastq.gz.1_SRR9089231_Fars_Saadat Shahr,unknown,Saad-01-M.R1.fastq.gz.1_SRR9089231_Fars_Saadat Shahr_unknown,_
10,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089232.1_1_sorted.bam,-0.100565757,0.195766228,-0.020710086,-0.086324082,Sam-01-F.R1.fastq.gz.1_SRR9089232_Hamadan_Samen,Type III,Sam-01-F.R1.fastq.gz.1_SRR9089232_Hamadan_Samen_Type III,_
