,sample.id,EV1,EV2,EV3,EV4,Cultivar,Type,HCPC,
3,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089225.1_1_sorted.bam,0.070396661,-0.008556699,-0.002478384,0.087645608,Bsh-01-F.R1.fastq.gz.1_SRR9089225_South Khorasan_Boshruyeh,Type I,Bsh-01-F.R1.fastq.gz.1_SRR9089225_South Khorasan_Boshruyeh_Type I,_
14,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089236.1_1_sorted.bam,0.098399978,-0.022803219,0.006014762,0.00785816,San-01-F.R1.fastq.gz.1_SRR9089236_Kordestan_Sanandaj,Type I,San-01-F.R1.fastq.gz.1_SRR9089236_Kordestan_Sanandaj_Type I,_
15,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089237.1_1_sorted.bam,0.081834577,-0.039133083,0.0167103,0.033538128,San-01-M.R1.fastq.gz.1_SRR9089237_Kordestan_Sanandaj,Type I,San-01-M.R1.fastq.gz.1_SRR9089237_Kordestan_Sanandaj_Type I,_
31,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089253.1_1_sorted.bam,0.068555494,0.003281785,0.022294206,0.019081178,Krsh-01-F.R1.fastq.gz.1_SRR9089253_Kermanshah_Kermanshah,Type I,Krsh-01-F.R1.fastq.gz.1_SRR9089253_Kermanshah_Kermanshah_Type I,_
32,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089254.1_1_sorted.bam,0.073240947,-0.008737576,0.05638344,0.035185233,Krsh-01-M.R1.fastq.gz.1_SRR9089254_Kermanshah_Kermanshah,Type I,Krsh-01-M.R1.fastq.gz.1_SRR9089254_Kermanshah_Kermanshah_Type I,_
43,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089265.1_1_sorted.bam,0.105449215,-0.036776908,0.058108258,0.017542549,Pir-01-M.R1.fastq.gz.1_SRR9089265_West Azarbaijan_Piranshahr,Type I,Pir-01-M.R1.fastq.gz.1_SRR9089265_West Azarbaijan_Piranshahr_Type I,_
44,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089266.1_1_sorted.bam,0.111927852,-0.043557691,0.049419932,0.02454381,Pir-01-F.R1.fastq.gz.1_SRR9089266_West Azarbaijan_Piranshahr,Type I,Pir-01-F.R1.fastq.gz.1_SRR9089266_West Azarbaijan_Piranshahr_Type I,_
53,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089275.1_1_sorted.bam,0.069878494,-0.029678191,0.043224439,0.072157251,Dez-02-F.R1.fastq.gz.1_SRR9089275_Khuzestan_Dezful,Type I,Dez-02-F.R1.fastq.gz.1_SRR9089275_Khuzestan_Dezful_Type I,_
54,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089276.1_1_sorted.bam,0.080537295,-0.023357078,0.040854414,-0.002400256,Dez-02-M-2.R1.fastq.gz.1_SRR9089276_Khuzestan_Dezful,Type I,Dez-02-M-2.R1.fastq.gz.1_SRR9089276_Khuzestan_Dezful_Type I,_
59,/home/ahmccorm/kantar_lts/anna/Cannabis_SRR/Soorni/Nuclear_cs10/sam_to_bam/sorted_bam/SRR9089281.1_1_sorted.bam,0.097212188,0.007901215,0.061210205,-0.001375985,Dez-01-F.R1.fastq.gz.1_SRR9089281_Khuzestan_Dezful,Type I,Dez-01-F.R1.fastq.gz.1_SRR9089281_Khuzestan_Dezful_Type I,_
