,Name,BAR
1,Liberty Haze1_a1_Type I,Type I
2,Corleone Kush_a1_Type I,Type I
3,Jah_a1_Type I,Type I
4,AZ Star #2_a1_Unknown,unknown
5,White Master Kush_a1_Type I,Type I
6,Headband1_a1_Type I,Type I
7,Banana_a1_Type I,Type I
8,Nuclear Fruit1_a1_Type I,Type I
9,Banana2_a1_Type I,Type I
10,Blue Dream2_a1_Type I,Type I
11,Matt 32_a1_Unknown,unknown
12,Matt 31_a1_Unknown,unknown
13,Purple Kryptonite1_a1_Type I,Type I
14,Oddball_a1_Unknown,unknown
15,Amnesia Haze_a1_Type I,Type I
16,Black Jack2_a1_Type I,Type I
17,Black Jack1_a1_Type I,Type I
18,Blue Steele_a1_Type I,Type I
19,Master Kush_a1_Type I,Type I
20,Berry Garcia_a1_Type I,Type I
21,Jack Herer_a1_Type I,Type I
22,Halfy_a1_Unknown,unknown
23,MN unknown_a1_Unknown,unknown
24,Blue Dream1_a1_Type I,Type I
25,Alien Dawg_a1_Type,Type I
