,CHROM,BIN_START,BIN_END,N_VARIANTS,PI,Name
1,NC_044371.1,180001,190000,17,0.000145558,Medicinal Genomics StrainSEEK V1 (n=289)
2,NC_044371.1,420001,430000,2,2.68E-05,Medicinal Genomics StrainSEEK V1 (n=289)
3,NC_044371.1,520001,530000,3,6.07E-06,Medicinal Genomics StrainSEEK V1 (n=289)
4,NC_044371.1,580001,590000,1,2.28E-05,Medicinal Genomics StrainSEEK V1 (n=289)
5,NC_044371.1,640001,650000,3,1.18E-05,Medicinal Genomics StrainSEEK V1 (n=289)
6,NC_044371.1,980001,990000,2,1.01E-05,Medicinal Genomics StrainSEEK V1 (n=289)
7,NC_044371.1,2290001,2300000,1,4.97E-06,Medicinal Genomics StrainSEEK V1 (n=289)
8,NC_044371.1,2350001,2360000,4,4.68E-05,Medicinal Genomics StrainSEEK V1 (n=289)
9,NC_044371.1,2480001,2490000,4,5.31E-06,Medicinal Genomics StrainSEEK V1 (n=289)
10,NC_044371.1,2570001,2580000,2,1.99E-05,Medicinal Genomics StrainSEEK V1 (n=289)
11,NC_044371.1,3580001,3590000,1,2.72E-06,Medicinal Genomics StrainSEEK V1 (n=289)
12,NC_044371.1,3740001,3750000,1,7.61E-06,Medicinal Genomics StrainSEEK V1 (n=289)
13,NC_044371.1,4000001,4010000,4,6.19E-05,Medicinal Genomics StrainSEEK V1 (n=289)
14,NC_044371.1,4240001,4250000,1,9.36E-06,Medicinal Genomics StrainSEEK V1 (n=289)
15,NC_044371.1,4330001,4340000,6,4.61E-05,Medicinal Genomics StrainSEEK V1 (n=289)
16,NC_044371.1,5510001,5520000,4,2.13E-05,Medicinal Genomics StrainSEEK V1 (n=289)
17,NC_044371.1,5600001,5610000,3,3.35E-05,Medicinal Genomics StrainSEEK V1 (n=289)
18,NC_044371.1,5910001,5920000,1,3.72E-07,Medicinal Genomics StrainSEEK V1 (n=289)
19,NC_044371.1,6080001,6090000,18,0.00022004,Medicinal Genomics StrainSEEK V1 (n=289)
